report_date,dealer_long,dealer_short,am_long,am_short
2016-08-09,18419,146860,85135,26841
2016-08-16,18078,144210,87137,26883
2016-08-23,19146,150171,86028,27077
2016-08-30,20946,149729,89056,26908
2016-09-06,22099,153316,88498,27040
2016-09-13,32244,115851,65941,26813
2016-09-20,23972,133134,80986,26913
2016-09-27,22205,151872,80836,26812
2016-10-04,21422,149660,81349,28993
2016-10-11,20785,150027,69777,29920
2016-10-18,21354,156905,85697,28576
2016-10-25,16807,173081,85647,28763
2016-11-01,15121,175631,71699,29732
2016-11-08,13868,157473,65442,32282
2016-11-15,32135,93757,61164,32238
2016-11-22,28811,98714,64142,30882
2016-11-29,36548,102262,65183,30282
2016-12-06,59998,85922,53233,35219
2016-12-13,45584,94260,42607,30989
2016-12-20,13037,90738,65306,25109
2016-12-27,14720,99297,61460,24362
2017-01-03,21615,93188,61153,27166
2017-01-10,22653,83651,63184,26774
2017-01-17,22208,87178,63936,26896
2017-01-24,26594,83614,58785,28124
2017-01-31,26274,97519,64615,27644
2017-02-07,30452,82826,60498,25805
2017-02-14,30119,76028,59236,25527
2017-02-21,32046,66580,55524,25608
2017-02-28,31592,68917,48140,26626
2017-03-07,31762,50465,39969,28964
2017-03-14,36636,44850,42813,31569
2017-03-21,12593,75734,74356,27678
2017-03-28,12945,82534,77676,23589
2017-04-04,13112,84839,70449,27192
2017-04-11,18437,96051,71898,26623
2017-04-18,18823,103342,67303,28412
2017-04-25,17218,114112,71824,25277
2017-05-02,20339,106876,72766,26190
2017-05-09,23588,110521,73687,25152
2017-05-16,29927,97769,71672,24797
2017-05-23,34808,99531,64572,23749
2017-05-30,30733,103405,65056,23815
2017-06-06,27349,124511,76601,30384
2017-06-13,27921,113752,65493,30545
2017-06-20,6848,113503,91270,32348
2017-06-27,15194,97146,82864,35429
2017-07-03,36742,94105,75628,39305
2017-07-11,45344,84945,72486,40107
2017-07-18,35716,83288,73798,40864
2017-07-25,40575,93249,66449,42521
2017-08-01,46047,91155,63364,39471
2017-08-08,54914,87037,62604,40532
2017-08-15,59680,78285,60561,41905
2017-08-22,72066,69157,56667,45602
2017-08-29,83178,62375,52341,46107
2017-09-05,78342,64221,52086,42308
2017-09-12,87126,71479,52176,53334
2017-09-19,47396,76043,75022,54559
2017-09-26,58323,68677,69877,56854
2017-10-03,64395,69721,67964,53116
2017-10-10,65454,75513,68391,55545
2017-10-17,62722,71545,68536,57475
2017-10-24,57235,74389,63043,52212
2017-10-31,47588,75294,64747,50431
2017-11-07,51376,76477,61575,49432
2017-11-14,55416,70851,60467,47961
2017-11-21,59771,80552,71081,55849
2017-11-28,64965,74758,71439,58335
2017-12-05,60722,68859,74458,62377
2017-12-12,68844,66763,67670,63181
2017-12-19,39508,52148,102865,60065
2017-12-26,53870,49757,90751,60561
2018-01-02,49341,50827,78236,55400
2018-01-09,44358,50041,80279,55994
2018-01-16,52843,64646,79145,56480
2018-01-23,58822,63947,74155,57012
2018-01-30,56196,67373,69443,57742
2018-02-06,51892,67854,55736,51215
2018-02-13,74618,24251,41840,67104
2018-02-20,84183,26390,43205,60721
2018-02-27,78051,38604,51754,67099
2018-03-06,74022,43123,43296,70773
2018-03-13,69616,52740,47061,69072
2018-03-20,45900,61121,75829,54240
2018-03-27,59880,51025,61161,51205
2018-04-03,72354,37532,58682,61654
2018-04-10,71780,37965,53475,62107
2018-04-17,75801,42759,46991,61633
2018-04-24,87655,27971,42855,59545
2018-05-01,84165,34213,44984,59039
2018-05-08,82520,45709,46816,56642
2018-05-15,86625,37452,51529,60757
2018-05-22,88552,38360,50019,62080
2018-05-29,85507,51761,50845,61525
2018-06-05,71115,62885,54820,59427
2018-06-12,73026,48925,49581,60399
2018-06-19,43578,52728,80217,49472
2018-06-26,48085,51434,80003,47902
2018-07-03,47581,53033,74573,53153
2018-07-10,45234,58807,77333,47408
2018-07-17,43939,69998,76602,48297
2018-07-24,48297,69026,74166,49388
2018-07-31,57424,69341,66506,49738
2018-08-07,66362,72344,69515,50045
2018-08-14,67944,71939,64704,48352
2018-08-21,67421,69458,63945,51506
2018-08-28,68954,74474,64359,53018
2018-09-04,69265,76251,86901,54903
2018-09-11,82018,68507,82302,70872
2018-09-18,82706,64001,80690,68652
2018-09-25,49326,83483,106515,51210
2018-10-02,43768,82192,104115,53679
2018-10-09,67198,67667,87516,61358
2018-10-16,79566,66069,67842,62913
2018-10-23,77081,60772,58846,60660
2018-10-30,84505,50629,52690,74834
2018-11-06,94359,38879,53859,83979
2018-11-13,95410,38890,54854,82232
2018-11-20,85192,50702,58061,85018
2018-11-27,81022,55812,53134,82319
2018-12-04,95772,44966,53629,84164
2018-12-11,93234,54963,53306,84304
2018-12-18,70140,53609,51106,75043
2018-12-24,37339,44686,49602,71257
2018-12-31,70539,36771,48361,69474
2019-01-08,91052,37060,46753,63630
2019-01-15,98242,39303,46718,60657
2019-01-22,91858,49405,49378,58475
2019-01-29,83944,54020,50229,56771
2019-02-05,83376,49922,55310,48552
2019-02-12,86048,51586,56376,64939
2019-02-19,89196,53849,59475,66327
2019-02-26,87825,54192,63077,68573
2019-03-05,94796,54476,62304,67007
2019-03-12,103710,46228,55381,69353
2019-03-19,66853,36852,64879,63480
2019-03-26,50216,46072,68311,48155
2019-04-02,55124,48433,70463,45443
2019-04-09,53701,52610,73866,43244
2019-04-16,55927,45170,72785,48587
2019-04-23,53925,49248,72989,55136
2019-04-30,53250,54133,73446,54023
2019-05-07,51656,44323,69888,53182
2019-05-14,58605,37505,67469,37823
2019-05-21,53735,47020,73184,35339
2019-05-28,54355,45479,78989,44411
2019-06-04,58465,40486,76661,47976
2019-06-11,55495,45380,82879,50336
2019-06-18,51758,52988,81600,47385
2019-06-25,29884,62435,87721,39005
2019-07-02,31643,57954,83613,37790
2019-07-09,32332,57066,80516,37290
2019-07-16,27334,59741,87650,35177
2019-07-23,37014,59482,86268,37677
2019-07-30,38729,57892,90548,38749
2019-08-06,34820,47677,94787,36471
2019-08-13,38145,42729,86488,35282
2019-08-20,44433,36135,82499,36237
2019-08-27,49229,37052,83530,40538
2019-09-03,46398,41514,83656,41465
2019-09-10,38960,46155,80006,42565
2019-09-17,35957,49915,88296,45886
2019-09-24,32505,42600,81901,44446
2019-10-01,33370,45749,85067,45150
2019-10-08,38557,39878,76449,47973
2019-10-15,34989,43102,83968,46401
2019-10-22,36680,50309,87165,44159
2019-10-29,33228,58286,91178,45389
2019-11-05,34640,55666,91500,38568
2019-11-12,33710,55271,95303,40313
2019-11-19,32184,49591,97249,38582
2019-11-26,33409,43399,98307,38167
2019-12-03,41118,38006,81196,39022
2019-12-10,45833,34706,71316,37986
2019-12-17,42973,37142,65714,42245
2019-12-24,21883,49985,83795,41957
2019-12-31,21743,57643,81146,40447
2020-01-07,21830,47504,77914,44759
2020-01-14,21929,50801,77012,37277
2020-01-21,26081,46324,77499,44071
2020-01-28,24103,47055,77879,40610
2020-02-04,34460,42286,74245,41805
2020-02-11,33813,41890,72888,49763
2020-02-18,28761,46569,70924,41607
2020-02-25,23960,67641,72148,33201
2020-03-03,25980,51877,77560,38893
2020-03-10,32054,40114,72923,54699
2020-03-17,36586,45725,59441,65875
2020-03-24,33447,65000,63431,39534
2020-03-31,35916,40543,60210,38825
2020-04-07,33060,30868,61496,39491
2020-04-14,32055,26596,65814,33990
2020-04-21,32342,28406,62232,37220
2020-04-28,33842,35009,63428,37129
2020-05-05,34688,47540,64453,31762
2020-05-12,36072,51464,69920,28919
2020-05-19,40272,40640,63880,30927
2020-05-26,39703,42314,72655,31262
2020-06-02,42270,43458,73607,32781
2020-06-09,49463,37182,72443,32855
2020-06-16,37436,45690,78374,24347
2020-06-23,13762,49004,79756,24875
2020-06-30,14381,55058,82938,24355
2020-07-07,22681,57186,82135,21790
2020-07-14,34911,47287,68793,28190
2020-07-21,49651,43445,65920,28945
