report_date,lev_long,lev_short
2017-01-03,98112,65104
2017-01-10,89501,66707
2017-01-17,93345,66379
2017-01-24,92748,62749
2017-01-31,101645,66475
2017-02-07,93449,73569
2017-02-14,92128,74777
2017-02-21,97544,78518
2017-02-28,106013,79628
2017-03-07,98974,80823
2017-03-14,92449,89066
2017-03-21,93849,76179
2017-03-28,99805,75754
2017-04-04,105511,72156
2017-04-11,109079,71668
2017-04-18,119978,69046
2017-04-25,135684,74826
2017-05-02,125468,75850
2017-05-09,121642,71766
2017-05-16,114117,80055
2017-05-23,113891,81120
2017-05-30,122517,81995
2017-06-06,138828,86888
2017-06-13,138125,94798
2017-06-20,120713,76102
2017-06-27,124445,85312
2017-07-03,116522,90304
2017-07-11,105054,84505
2017-07-18,116343,85632
2017-07-25,125418,80400
2017-08-01,122180,88272
2017-08-08,119882,91334
2017-08-15,120990,95926
2017-08-22,98786,97366
2017-08-29,95658,102011
2017-09-05,88428,94263
2017-09-12,91065,89742
2017-09-19,85575,63964
2017-09-26,80790,73618
2017-10-03,80419,77417
2017-10-10,88538,76768
2017-10-17,87623,71317
2017-10-24,91957,72781
2017-10-31,89222,63226
2017-11-07,88170,60409
2017-11-14,95589,73785
2017-11-21,86668,63891
2017-11-28,88029,70402
2017-12-05,92868,87408
2017-12-12,81098,77383
2017-12-19,79423,102134
2017-12-26,82771,117039
2018-01-02,88400,106241
2018-01-09,75578,86872
2018-01-16,78975,83656
2018-01-23,61093,71998
2018-01-30,64624,64713
2018-02-06,73991,65550
2018-02-13,51384,78757
2018-02-20,41359,76980
2018-02-27,34295,55210
2018-03-06,48533,53149
2018-03-13,56631,55086
2018-03-20,54627,57853
2018-03-27,53230,66495
2018-04-03,58232,87844
2018-04-10,55595,83276
2018-04-17,53999,66881
2018-04-24,48245,89949
2018-05-01,45961,69821
2018-05-08,45701,67414
2018-05-15,51324,76086
2018-05-22,43506,83887
2018-05-29,46913,73505
2018-06-05,59203,64506
2018-06-12,53059,67136
2018-06-19,50108,69714
2018-06-26,51408,82817
2018-07-03,63902,84308
2018-07-10,64143,87137
2018-07-17,70196,79279
2018-07-24,59717,65312
2018-07-31,61198,66227
2018-08-07,53948,64889
2018-08-14,52681,59704
2018-08-21,52761,60297
2018-08-28,58996,58209
2018-09-04,55019,68801
2018-09-11,43533,67356
2018-09-18,34810,63453
2018-09-25,37814,58287
2018-10-02,48740,55125
2018-10-09,35757,60482
2018-10-16,48061,53886
2018-10-23,60037,64492
2018-10-30,53257,50136
