date,ret1,cum3,event,vix,vix_1y_pct,smh_gap,nsp,svr_rel,pc,dealer_net,y2_chg1,dxy_chg1,move,epu_pct,gex_b,drawdown60,move_curve_pct,wood,fire,jpy5,jcot_pct
2026-07-31,0.6,1.84,0,15.99,24,-0.29,94,65,0.63,-27581,,,,,,,,,,,
2026-08-03,1.78,5.83,1,15.86,24,-1.88,94,85,0.55,-27581,-0.03,0.06,70.88,88,6.7,-6.14,51,,,,
2026-08-04,3.32,5.79,1,16.5,37,3.29,94,65,0.46,-27581,-0.05,-0.24,70.88,99,8.5,-3.02,51,,,,
2026-08-05,-0.83,4.29,0,15.81,23,-0.22,94,55,0.6,-27581,-0.02,0.06,70.88,98,10.3,-3.83,51,,,,
2026-08-06,-0.39,2.07,0,15.15,12,0.7,94,45,0.57,-27581,0.07,0.14,70.88,82,7.9,-4.2,51,,,,
2026-08-07,1.19,-0.04,0,14.9,9,0.56,100,40,0.54,8749,-0.06,0.14,72.03,90,9.1,-3.06,51,,,,
2026-08-10,-0.34,0.45,0,15.46,17,-1.73,100,95,0.61,8749,0.06,-0.02,72.03,92,8.3,-3.39,51,,,,
2026-08-11,-0.33,0.52,0,15.28,13,1.18,100,10,0.63,8749,-0.03,0.06,77.915,78,6.9,-3.7,,4,2,0.97,40
2026-08-12,0.74,0.07,0,14.55,4,1.1,100,5,0.61,8749,-0.02,0.04,77.915,93,10.6,-2.99,51,4,1,0.57,40
2026-08-13,1.15,1.56,0,14.63,5,0.75,100,10,0.59,8749,-0.05,-0.19,77.915,89,9.2,-1.88,51,4,1,0.82,40
2026-08-14,-0.13,1.76,0,14.25,3,-1.23,100,90,0.52,2897,0.02,-0.19,69.58,33,15.2,-2.0,,2,1,0.09,46
2026-08-17,-0.17,0.85,0,15.19,12,,100,45,0.65,2897,0.02,-0.06,69.58,83,6.8,-2.17,51,2,1,0.27,46
2026-08-18,-1.68,-1.97,0,15.84,24,-2.41,100,5,0.64,2897,0.0,-0.28,74.979,91,5.8,-3.81,51,2,0,-0.16,46
2026-08-19,-0.22,-2.06,0,14.89,8,-1.33,100,20,0.52,2897,0.0,-0.72,71.26,76,6.7,-4.03,52,2,0,-0.59,46
2026-08-20,-0.72,-2.61,0,16.01,26,0.73,100,35,0.58,2897,0.0,-0.03,73.18,95,4.9,-4.72,47,2,0,-0.32,46
2026-08-21,0.33,-0.62,0,15.13,12,-0.43,90,60,0.51,-35042,0.05,-0.03,73.4,86,4.1,-4.41,50,3,1,-0.25,40
2026-08-24,-0.97,-1.37,0,15.85,24,-1.46,90,75,0.68,-35042,0.0,0.02,73.98,90,5.5,-5.34,49,3,2,-0.17,40
2026-08-25,0.64,-0.01,0,15.45,17,1.01,90,100,0.57,-35042,-0.07,-0.0,71.92,90,5.6,-4.73,51,3,2,0.51,40
2026-08-26,0.05,-0.29,0,15.21,12,-0.06,90,85,0.64,-35042,0.01,0.12,69.438,88,5.8,-4.68,44,3,1,0.3,40
2026-08-27,1.43,2.13,0,14.51,4,1.67,73,25,0.39,-63248,0.14,0.54,70.965,69,6.7,-3.04,43,4,2,0.71,37
2026-08-28,-0.7,0.77,0,14.43,3,-2.77,73,65,0.62,-63248,0.14,0.54,70.965,92,4.5,-3.64,43,4,2,0.56,37
2026-08-31,0.08,0.8,0,14.92,9,0.56,73,100,0.7,-63248,0.0,0.17,75.32,95,5.0,-3.56,43,4,1,0.54,37
2026-09-01,-1.29,-1.9,0,16.34,33,-0.52,73,90,0.67,-63248,0.05,-0.05,77.88,80,4.6,-4.8,54,4,3,-0.33,37
2026-09-02,0.23,-0.99,0,15.2,13,0.58,73,50,0.56,-63248,0.0,-0.53,79.71,93,6.1,-4.59,59,4,4,-2.26,37
