Date,Close
2026-05-04,98.47
2026-05-05,98.48
2026-05-06,98.02
2026-05-07,98.25
2026-05-08,97.84
2026-05-11,97.94
2026-05-12,98.29
2026-05-13,98.48
2026-05-14,98.88
2026-05-15,99.27
2026-05-18,98.97
2026-05-19,99.3
2026-05-20,99.11
2026-05-21,99.19
2026-05-22,99.32
2026-05-26,99.17
2026-05-27,99.21
2026-05-28,99.02
2026-05-29,98.91
2026-06-01,99.2
2026-06-02,99.22
2026-06-03,99.53
2026-06-04,99.41
2026-06-05,100.07
2026-06-08,100.05
2026-06-09,99.91
2026-06-10,99.95
2026-06-11,99.86
2026-06-12,99.75
2026-06-15,99.63
2026-06-16,99.54
2026-06-17,100.09
2026-06-18,100.85
2026-06-22,101.02
2026-06-23,101.41
2026-06-24,101.61
2026-06-25,101.43
2026-06-26,101.36
2026-06-29,101.11
2026-06-30,101.19
2026-07-01,101.39
2026-07-02,100.86
2026-07-06,100.85
2026-07-07,101.14
2026-07-08,101.05
2026-07-09,100.94
2026-07-10,100.97
2026-07-13,101.28
2026-07-14,100.94
2026-07-15,100.5
2026-07-16,100.73
2026-07-17,100.75
2026-07-20,100.99
2026-07-21,101.18
2026-07-22,101.14
2026-07-23,101.43
2026-07-24,101.47
2026-07-27,101.51
2026-07-28,101.38
2026-07-29,100.8
2026-07-30,100.01
2026-07-31,99.8
2026-08-03,99.888
2026-08-04,99.951
2026-08-05,99.709
2026-08-06,99.765
2026-08-07,99.9
