date,equity_pc,source
2020-01-27,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2020-01-27_daily_options
2020-02-04,0.46,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-04_daily_options
2020-02-20,0.51,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-20_daily_options
2020-02-21,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-21_daily_options
2020-02-24,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-24_daily_options
2020-02-25,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-25_daily_options
2020-02-26,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-26_daily_options
2020-02-27,0.86,cdn.cboe.com/data/us/options/market_statistics/daily/2020-02-27_daily_options
2020-03-02,0.76,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-02_daily_options
2020-03-03,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-03_daily_options
2020-03-04,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-04_daily_options
2020-03-05,0.78,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-05_daily_options
2020-03-06,0.89,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-06_daily_options
2020-03-09,1.12,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-09_daily_options
2020-03-10,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-10_daily_options
2020-03-11,1.02,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-11_daily_options
2020-03-12,1.28,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-12_daily_options
2020-03-13,1.00,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-13_daily_options
2020-03-16,1.10,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-16_daily_options
2020-03-17,0.86,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-17_daily_options
2020-03-18,0.98,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-18_daily_options
2020-03-19,0.88,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-19_daily_options
2020-03-20,0.83,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-20_daily_options
2020-03-23,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-23_daily_options
2020-03-24,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-24_daily_options
2020-03-25,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-25_daily_options
2020-03-26,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-26_daily_options
2020-03-27,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-27_daily_options
2020-03-30,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2020-03-30_daily_options
2020-04-01,0.86,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-01_daily_options
2020-04-02,0.82,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-02_daily_options
2020-04-03,0.83,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-03_daily_options
2020-04-06,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-06_daily_options
2020-04-07,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-07_daily_options
2020-04-08,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-08_daily_options
2020-04-09,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-09_daily_options
2020-04-13,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-13_daily_options
2020-04-14,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-14_daily_options
2020-04-15,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-15_daily_options
2020-04-16,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-16_daily_options
2020-04-21,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-21_daily_options
2020-04-22,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-22_daily_options
2020-04-29,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2020-04-29_daily_options
2020-05-01,0.83,cdn.cboe.com/data/us/options/market_statistics/daily/2020-05-01_daily_options
2020-05-12,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2020-05-12_daily_options
2020-05-20,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2020-05-20_daily_options
2020-06-05,0.41,cdn.cboe.com/data/us/options/market_statistics/daily/2020-06-05_daily_options
2020-06-11,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2020-06-11_daily_options
2020-06-24,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2020-06-24_daily_options
2020-06-26,0.74,cdn.cboe.com/data/us/options/market_statistics/daily/2020-06-26_daily_options
2020-07-06,0.42,cdn.cboe.com/data/us/options/market_statistics/daily/2020-07-06_daily_options
2020-07-13,0.41,cdn.cboe.com/data/us/options/market_statistics/daily/2020-07-13_daily_options
2020-07-20,0.45,cdn.cboe.com/data/us/options/market_statistics/daily/2020-07-20_daily_options
