Date,Close
2013-02-12,20.17
2013-02-13,20.24
2013-02-14,20.38
2013-02-15,20.33
2013-02-19,20.52
2013-02-20,20.3
2013-02-21,19.93
2013-02-22,20.24
2013-02-25,20.01
2013-02-26,20.1
2013-02-27,20.28
2013-02-28,20.36
2013-03-01,20.36
2013-03-04,20.43
2013-03-05,20.53
2013-03-06,20.58
2013-03-07,20.62
2013-03-08,20.68
2013-03-11,20.85
2013-03-12,20.74
2013-03-13,20.81
2013-03-14,20.97
2013-03-15,20.86
2013-03-18,20.71
2013-03-19,20.45
2013-03-20,20.52
2013-03-21,20.48
2013-03-22,20.59
2013-03-25,20.56
2013-03-26,20.45
2013-03-27,20.49
2013-03-28,20.44
2013-04-01,20.16
2013-04-02,20.2
2013-04-03,19.84
2013-04-04,19.89
2013-04-05,19.85
2013-04-08,20.08
2013-04-09,19.94
2013-04-10,20.14
2013-04-11,20.0
2013-04-12,19.88
2013-04-15,19.45
2013-04-16,19.6
2013-04-17,19.27
2013-04-18,19.23
2013-04-19,19.39
2013-04-22,19.84
2013-04-23,20.11
2013-04-24,20.2
2013-04-25,20.31
2013-04-26,20.37
2013-04-29,20.68
2013-04-30,20.76
2013-05-01,20.15
2013-05-02,20.4
2013-05-03,20.58
2013-05-06,20.53
2013-05-07,20.52
2013-05-08,20.62
2013-05-09,20.42
2013-05-10,20.45
2013-05-13,20.46
2013-05-14,20.71
2013-05-15,20.75
2013-05-16,20.55
2013-05-17,20.65
2013-05-20,20.73
2013-05-21,20.75
2013-05-22,20.49
2013-05-23,20.37
2013-05-24,20.4
2013-05-28,20.37
2013-05-29,20.14
2013-05-30,20.29
2013-05-31,19.98
2013-06-03,19.76
2013-06-04,19.65
2013-06-05,19.47
2013-06-06,19.7
2013-06-07,19.86
2013-06-10,19.95
2013-06-11,19.7
2013-06-12,19.48
2013-06-13,19.82
2013-06-14,19.91
2013-06-17,19.98
2013-06-18,20.03
2013-06-19,19.79
2013-06-20,19.37
2013-06-21,19.32
2013-06-24,19.26
2013-06-25,19.25
2013-06-26,19.47
2013-06-27,19.8
2013-06-28,19.93
2013-07-01,19.78
2013-07-02,19.65
2013-07-03,19.65
2013-07-05,19.67
2013-07-08,19.84
2013-07-09,19.91
2013-07-10,19.99
2013-07-11,20.3
2013-07-12,20.21
2013-07-15,20.4
2013-07-16,20.36
2013-07-17,20.4
2013-07-18,20.51
2013-07-19,20.35
2013-07-22,20.47
2013-07-23,20.69
2013-07-24,20.39
2013-07-25,20.51
2013-07-26,20.5
2013-07-29,20.39
2013-07-30,20.39
2013-07-31,20.42
2013-08-01,20.44
2013-08-02,20.52
2013-08-05,20.42
2013-08-06,20.33
2013-08-07,20.09
2013-08-08,20.14
2013-08-09,20.26
2013-08-12,20.21
2013-08-13,20.14
2013-08-14,20.1
2013-08-15,19.86
2013-08-16,19.85
2013-08-19,19.56
2013-08-20,19.87
2013-08-21,19.9
2013-08-22,20.07
2013-08-23,20.12
2013-08-26,20.11
2013-08-27,19.86
2013-08-28,19.85
2013-08-29,19.97
2013-08-30,19.79
2013-09-03,19.77
2013-09-04,20.04
2013-09-05,20.05
2013-09-06,20.12
2013-09-09,20.28
2013-09-10,20.45
2013-09-11,20.4
2013-09-12,20.39
2013-09-13,20.41
2013-09-16,20.49
2013-09-17,20.58
2013-09-18,20.8
2013-09-19,20.58
2013-09-20,20.47
2013-09-23,20.49
2013-09-24,20.53
2013-09-25,20.67
2013-09-26,20.51
2013-09-27,20.54
2013-09-30,20.55
2013-10-01,20.3
2013-10-02,20.1
2013-10-03,20.05
2013-10-04,20.14
2013-10-07,19.97
2013-10-08,19.94
2013-10-09,19.9
2013-10-10,20.18
2013-10-11,20.36
2013-10-14,20.28
2013-10-15,20.13
2013-10-16,20.19
2013-10-17,20.45
2013-10-18,20.55
2013-10-21,20.57
2013-10-22,20.65
2013-10-23,20.73
2013-10-24,20.83
2013-10-25,20.8
2013-10-28,20.83
2013-10-29,20.74
2013-10-30,20.68
2013-10-31,20.54
2013-11-01,20.42
2013-11-04,20.61
2013-11-05,20.64
2013-11-06,20.62
2013-11-07,20.39
2013-11-08,20.55
2013-11-11,20.75
2013-11-12,20.7
2013-11-13,20.78
2013-11-14,20.81
