Date,Close
2011-03-03,25.13
2011-03-04,25.08
2011-03-07,25.06
2011-03-08,25.01
2011-03-09,25.06
2011-03-10,25.03
2011-03-11,24.99
2011-03-14,24.92
2011-03-15,24.59
2011-03-16,24.53
2011-03-17,24.67
2011-03-18,24.83
2011-03-21,24.88
2011-03-22,24.9
2011-03-23,24.94
2011-03-24,24.97
2011-03-25,25.02
2011-03-28,25.04
2011-03-29,25.06
2011-03-30,25.11
2011-03-31,25.12
2011-04-01,25.1
2011-04-04,25.19
2011-04-05,25.19
2011-04-06,25.24
2011-04-07,25.28
2011-04-08,25.29
2011-04-11,25.31
2011-04-12,25.28
2011-04-13,25.31
2011-04-14,25.3
2011-04-15,25.27
2011-04-18,25.22
2011-04-19,25.25
2011-04-20,25.28
2011-04-21,25.28
2011-04-25,25.27
2011-04-26,25.26
2011-04-27,25.26
2011-04-28,25.28
2011-04-29,25.28
2011-05-02,25.28
2011-05-03,25.27
2011-05-04,25.27
2011-05-05,25.25
2011-05-06,25.27
2011-05-09,25.28
2011-05-10,25.28
2011-05-11,25.27
2011-05-12,25.25
2011-05-13,25.21
2011-05-16,25.2
2011-05-17,25.2
2011-05-18,25.19
2011-05-19,25.17
2011-05-20,25.16
2011-05-23,25.14
2011-05-24,25.13
2011-05-25,25.09
2011-05-26,25.05
2011-05-27,25.05
2011-05-31,25.08
2011-06-01,25.1
2011-06-02,25.09
2011-06-03,25.06
2011-06-06,25.03
2011-06-07,25.01
2011-06-08,24.98
2011-06-09,24.97
2011-06-10,24.92
2011-06-13,24.88
2011-06-14,24.93
2011-06-15,24.84
2011-06-16,24.74
2011-06-17,24.72
2011-06-20,24.73
2011-06-21,24.76
2011-06-22,24.74
2011-06-23,24.62
2011-06-24,24.7
2011-06-27,24.69
2011-06-28,24.72
2011-06-29,24.75
2011-06-30,24.83
2011-07-01,24.88
2011-07-05,24.92
2011-07-06,24.93
2011-07-07,24.85
2011-07-08,24.9
2011-07-11,24.9
2011-07-12,24.84
2011-07-13,24.87
2011-07-14,24.89
2011-07-15,24.83
2011-07-18,24.77
2011-07-19,24.81
2011-07-20,24.82
2011-07-21,24.82
2011-07-22,24.83
2011-07-25,24.81
2011-07-26,24.85
2011-07-27,24.81
2011-07-28,24.79
2011-07-29,24.7
2011-08-01,24.7
2011-08-02,24.6
2011-08-03,24.57
2011-08-04,24.26
2011-08-05,23.93
2011-08-08,22.99
2011-08-09,23.41
2011-08-10,23.18
2011-08-11,23.18
2011-08-12,23.27
2011-08-15,23.42
2011-08-16,23.32
2011-08-17,23.5
2011-08-18,23.15
2011-08-19,23.16
2011-08-22,23.19
2011-08-23,23.2
2011-08-24,23.02
2011-08-25,22.85
2011-08-26,22.8
2011-08-29,22.89
2011-08-30,22.94
2011-08-31,23.1
2011-09-01,23.33
2011-09-02,23.39
2011-09-06,23.15
2011-09-07,23.34
2011-09-08,23.27
2011-09-09,23.34
2011-09-12,23.3
2011-09-13,23.25
2011-09-14,23.5
2011-09-15,23.42
2011-09-16,23.36
2011-09-19,23.4
2011-09-20,23.42
2011-09-21,23.31
2011-09-22,23.17
2011-09-23,23.21
2011-09-26,23.18
2011-09-27,23.29
2011-09-28,23.16
2011-09-29,23.09
2011-09-30,23.0
2011-10-03,22.79
2011-10-04,22.7
2011-10-05,22.79
2011-10-06,22.85
2011-10-07,22.84
2011-10-10,23.15
2011-10-11,23.12
2011-10-12,23.31
2011-10-13,23.39
2011-10-14,23.41
2011-10-17,23.41
2011-10-18,23.47
2011-10-19,23.47
2011-10-20,23.52
2011-10-21,23.65
2011-10-24,24.0
2011-10-25,23.82
2011-10-26,23.88
2011-10-27,24.04
2011-10-28,24.13
2011-10-31,24.0
2011-11-01,23.86
2011-11-02,23.94
2011-11-03,24.07
2011-11-04,24.03
2011-11-07,24.12
2011-11-08,24.02
2011-11-09,23.94
2011-11-10,24.12
2011-11-11,24.25
2011-11-14,24.17
2011-11-15,23.99
2011-11-16,24.05
2011-11-17,24.02
2011-11-18,23.98
2011-11-21,23.86
2011-11-22,23.8
2011-11-23,23.65
2011-11-25,23.74
2011-11-28,23.8
2011-11-29,23.71
2011-11-30,23.91
2011-12-01,23.9
2011-12-02,23.8
2011-12-05,23.92
2011-12-06,23.93
2011-12-07,23.91
2011-12-08,23.87
2011-12-09,23.91
2011-12-12,23.9
2011-12-13,23.86
2011-12-14,23.8
2011-12-15,23.69
2011-12-16,23.65
2011-12-19,23.72
2011-12-20,23.7
2011-12-21,23.82
2011-12-22,23.89
2011-12-23,23.85
2011-12-27,23.77
2011-12-28,23.89
2011-12-29,23.74
2011-12-30,23.81
2012-01-03,23.93
2012-01-04,23.99
2012-01-05,24.06
2012-01-06,24.07
2012-01-09,24.13
2012-01-10,24.18
2012-01-11,24.2
2012-01-12,24.14
2012-01-13,24.1
2012-01-17,24.07
2012-01-18,24.07
2012-01-19,24.07
2012-01-20,24.14
2012-01-23,24.12
2012-01-24,24.22
2012-01-25,24.23
2012-01-26,24.23
2012-01-27,24.39
2012-01-30,24.39
2012-01-31,24.42
2012-02-01,24.42
2012-02-02,24.5
2012-02-03,24.54
2012-02-06,24.48
2012-02-07,24.49
2012-02-08,24.59
2012-02-09,24.57
2012-02-10,24.53
2012-02-13,24.57
2012-02-14,24.56
2012-02-15,24.48
2012-02-16,24.44
2012-02-17,24.45
2012-02-21,24.45
2012-02-22,24.44
2012-02-23,24.43
2012-02-24,24.43
2012-02-27,24.48
2012-02-28,24.47
2012-02-29,24.46
2012-03-01,24.5
2012-03-02,24.55
2012-03-05,24.54
2012-03-06,24.42
2012-03-07,24.48
2012-03-08,24.49
2012-03-09,24.53
2012-03-12,24.53
2012-03-13,24.54
2012-03-14,24.57
2012-03-15,24.5
2012-03-16,24.48
2012-03-19,24.5
2012-03-20,24.52
2012-03-21,24.5
2012-03-22,24.5
2012-03-23,24.51
2012-03-26,24.54
2012-03-27,24.52
2012-03-28,24.55
2012-03-29,24.56
2012-03-30,24.58
2012-04-02,24.6
2012-04-03,24.55
2012-04-04,24.53
2012-04-05,24.53
2012-04-09,24.5
2012-04-10,24.41
2012-04-11,24.52
2012-04-12,24.54
2012-04-13,24.36
2012-04-16,24.36
2012-04-17,24.4
2012-04-18,24.38
2012-04-19,24.37
2012-04-20,24.45
2012-04-23,24.43
2012-04-24,24.42
2012-04-25,24.51
2012-04-26,24.56
2012-04-27,24.57
2012-04-30,24.59
2012-05-01,24.65
2012-05-02,24.64
2012-05-03,24.69
2012-05-04,24.77
2012-05-07,24.76
2012-05-08,24.66
2012-05-09,24.72
2012-05-10,24.68
2012-05-11,24.68
2012-05-14,24.68
2012-05-15,24.6
2012-05-16,24.57
2012-05-17,24.39
2012-05-18,24.19
2012-05-21,24.34
2012-05-22,24.35
2012-05-23,24.25
2012-05-24,24.28
2012-05-25,24.32
2012-05-29,24.26
2012-05-30,24.14
2012-05-31,24.14
2012-06-01,23.75
2012-06-04,23.8
2012-06-05,23.89
2012-06-06,23.96
2012-06-07,24.04
2012-06-08,24.15
2012-06-11,24.12
2012-06-12,24.27
2012-06-13,24.23
2012-06-14,24.3
2012-06-15,24.19
2012-06-18,24.12
2012-06-19,24.2
2012-06-20,24.23
2012-06-21,24.14
2012-06-22,24.21
2012-06-25,24.2
2012-06-26,24.16
2012-06-27,24.3
2012-06-28,24.31
2012-06-29,24.38
2012-07-02,24.42
2012-07-03,24.44
2012-07-05,24.45
2012-07-06,24.44
2012-07-09,24.49
2012-07-10,24.49
2012-07-11,24.48
2012-07-12,24.49
2012-07-13,24.46
2012-07-16,24.46
2012-07-17,24.49
2012-07-18,24.5
2012-07-19,24.57
2012-07-20,24.55
2012-07-23,24.52
2012-07-24,24.54
2012-07-25,24.53
2012-07-26,24.53
2012-07-27,24.55
2012-07-30,24.54
2012-07-31,24.57
2012-08-01,24.56
2012-08-02,24.57
2012-08-03,24.65
2012-08-06,24.65
2012-08-07,24.73
2012-08-08,24.73
2012-08-09,24.71
2012-08-10,24.73
2012-08-13,24.72
2012-08-14,24.74
2012-08-15,24.65
2012-08-16,24.65
2012-08-17,24.66
2012-08-20,24.68
2012-08-21,24.7
2012-08-22,24.73
2012-08-23,24.72
2012-08-24,24.75
2012-08-27,24.73
2012-08-28,24.75
2012-08-29,24.76
2012-08-30,24.81
2012-08-31,24.77
2012-09-04,24.82
2012-09-05,24.84
2012-09-06,24.88
2012-09-07,24.9
2012-09-10,24.92
2012-09-11,24.94
2012-09-12,24.99
2012-09-13,25.05
2012-09-14,24.98
2012-09-17,25.01
2012-09-18,25.05
2012-09-19,25.04
2012-09-20,25.04
2012-09-21,25.04
2012-09-24,25.04
2012-09-25,25.01
2012-09-26,24.95
2012-09-27,24.97
2012-09-28,24.95
2012-10-01,24.96
2012-10-02,24.97
2012-10-03,24.98
2012-10-04,24.97
2012-10-05,24.98
2012-10-08,24.95
2012-10-09,25.0
2012-10-10,24.99
2012-10-11,24.99
2012-10-12,24.99
2012-10-15,24.91
2012-10-16,24.93
2012-10-17,24.95
2012-10-18,24.95
2012-10-19,24.93
2012-10-22,24.93
2012-10-23,24.89
2012-10-24,24.87
2012-10-25,24.88
2012-10-26,24.86
2012-10-31,24.84
2012-11-01,24.86
2012-11-02,24.83
2012-11-05,24.86
2012-11-06,24.87
2012-11-07,24.86
2012-11-08,24.86
2012-11-09,24.84
2012-11-12,24.82
2012-11-13,24.72
2012-11-14,24.57
2012-11-15,24.51
2012-11-16,24.53
2012-11-19,24.65
2012-11-20,24.59
2012-11-21,24.63
2012-11-23,24.7
2012-11-26,24.64
2012-11-27,24.66
2012-11-28,24.6
2012-11-29,24.68
2012-11-30,24.72
2012-12-03,24.77
2012-12-04,24.82
2012-12-05,24.83
2012-12-06,24.86
2012-12-07,24.9
2012-12-10,24.94
2012-12-11,24.96
2012-12-12,24.93
2012-12-13,24.93
2012-12-14,24.86
2012-12-17,24.92
2012-12-18,24.94
2012-12-19,24.93
2012-12-20,24.94
2012-12-21,24.91
2012-12-24,24.93
2012-12-26,24.92
2012-12-27,24.95
2012-12-28,24.93
2012-12-31,24.98
2013-01-02,25.04
2013-01-03,25.0
2013-01-04,25.06
2013-01-07,25.09
2013-01-08,25.13
2013-01-09,25.16
2013-01-10,25.2
2013-01-11,25.2
2013-01-14,25.22
2013-01-15,25.11
2013-01-16,25.11
2013-01-17,25.14
2013-01-18,25.19
2013-01-22,25.19
2013-01-23,25.17
2013-01-24,25.22
2013-01-25,25.22
2013-01-28,25.22
2013-01-29,25.22
2013-01-30,25.17
2013-01-31,25.14
2013-02-01,25.13
2013-02-04,25.09
2013-02-05,25.09
2013-02-06,25.06
2013-02-07,25.0
2013-02-08,25.01
2013-02-11,24.99
