Date,Close
2000-08-30,0.885
2000-08-31,0.885
2000-09-01,0.889
2000-09-05,0.906
2000-09-06,0.901
2000-09-07,0.906
2000-09-08,0.912
2000-09-11,0.913
2000-09-12,0.928
2000-09-13,0.928
2000-09-14,0.925
2000-09-15,0.92
2000-09-18,0.919
2000-09-19,0.922
2000-09-20,0.901
2000-09-21,0.925
2000-09-22,0.919
2000-09-25,0.927
2000-09-26,0.916
2000-09-27,0.913
2000-09-28,0.911
2000-09-29,0.915
2000-10-02,0.895
2000-10-03,0.899
2000-10-04,0.896
2000-10-05,0.91
2000-10-06,0.905
2000-10-09,0.892
2000-10-10,0.902
2000-10-11,0.899
2000-10-12,0.879
2000-10-13,0.89
2000-10-16,0.891
2000-10-17,0.881
2000-10-18,0.87
2000-10-19,0.871
2000-10-20,0.86
2000-10-23,0.865
2000-10-24,0.863
2000-10-25,0.85
2000-10-26,0.829
2000-10-27,0.841
2000-10-30,0.842
2000-10-31,0.846
2000-11-01,0.833
2000-11-02,0.836
2000-11-03,0.836
2000-11-06,0.825
2000-11-07,0.828
2000-11-08,0.835
2000-11-09,0.838
2000-11-10,0.836
2000-11-13,0.819
2000-11-14,0.826
2000-11-15,0.826
2000-11-16,0.818
2000-11-17,0.822
2000-11-20,0.822
2000-11-21,0.829
2000-11-22,0.82
2000-11-27,0.846
2000-11-28,0.861
2000-11-29,0.852
2000-11-30,0.841
2000-12-01,0.859
2000-12-04,0.86
2000-12-05,0.869
2000-12-06,0.877
2000-12-07,0.878
2000-12-08,0.887
2000-12-11,0.89
2000-12-12,0.883
2000-12-13,0.881
2000-12-14,0.889
2000-12-15,0.873
2000-12-18,0.874
2000-12-19,0.874
2000-12-20,0.863
2000-12-21,0.856
2000-12-22,0.86
2000-12-26,0.863
2000-12-27,0.848
2000-12-28,0.853
2000-12-29,0.846
2001-01-02,0.818
2001-01-03,0.823
2001-01-04,0.815
2001-01-05,0.832
2001-01-08,0.833
2001-01-09,0.83
2001-01-10,0.831
2001-01-11,0.832
2001-01-12,0.845
2001-01-16,0.825
2001-01-17,0.831
2001-01-18,0.867
2001-01-19,0.853
2001-01-22,0.85
2001-01-23,0.851
2001-01-24,0.84
2001-01-25,0.839
2001-01-26,0.839
2001-01-29,0.834
2001-01-30,0.84
2001-01-31,0.849
2001-02-01,0.85
2001-02-02,0.844
2001-02-05,0.83
2001-02-06,0.831
2001-02-07,0.83
2001-02-08,0.83
2001-02-09,0.82
2001-02-12,0.817
2001-02-13,0.825
2001-02-14,0.822
2001-02-15,0.827
2001-02-16,0.825
2001-02-20,0.819
2001-02-21,0.801
2001-02-22,0.801
2001-02-23,0.795
2001-02-26,0.804
2001-02-27,0.801
2001-02-28,0.81
2001-03-01,0.821
2001-03-02,0.825
2001-03-05,0.834
2001-03-06,0.844
2001-03-07,0.834
2001-03-08,0.821
2001-03-09,0.826
2001-03-12,0.821
2001-03-13,0.812
2001-03-14,0.804
2001-03-15,0.803
2001-03-16,0.784
2001-03-19,0.791
2001-03-20,0.794
2001-03-21,0.785
2001-03-22,0.779
2001-03-23,0.78
2001-03-26,0.777
2001-03-27,0.786
2001-03-28,0.767
2001-03-29,0.77
2001-03-30,0.758
2001-04-02,0.755
2001-04-03,0.761
2001-04-04,0.761
2001-04-05,0.764
2001-04-06,0.746
2001-04-09,0.756
2001-04-10,0.765
2001-04-11,0.762
2001-04-12,0.764
2001-04-16,0.765
2001-04-17,0.762
2001-04-18,0.783
2001-04-19,0.771
2001-04-20,0.774
2001-04-23,0.757
2001-04-24,0.761
2001-04-25,0.763
2001-04-26,0.758
2001-04-27,0.759
2001-04-30,0.766
2001-05-01,0.774
2001-05-02,0.786
2001-05-03,0.783
2001-05-04,0.775
2001-05-07,0.776
2001-05-08,0.761
2001-05-09,0.754
2001-05-10,0.751
2001-05-11,0.756
2001-05-14,0.747
2001-05-15,0.748
2001-05-16,0.748
2001-05-17,0.761
2001-05-18,0.78
2001-05-21,0.795
2001-05-22,0.784
2001-05-23,0.784
2001-05-24,0.788
2001-05-25,0.786
2001-05-29,0.761
2001-05-30,0.757
2001-05-31,0.752
2001-06-01,0.748
2001-06-04,0.748
2001-06-05,0.757
2001-06-06,0.749
2001-06-07,0.747
2001-06-08,0.728
2001-06-11,0.729
2001-06-12,0.725
2001-06-13,0.721
2001-06-14,0.725
2001-06-15,0.716
2001-06-18,0.717
2001-06-19,0.723
2001-06-20,0.713
2001-06-21,0.72
2001-06-22,0.713
2001-06-25,0.712
2001-06-26,0.716
2001-06-27,0.723
2001-06-28,0.708
2001-06-29,0.705
2001-07-02,0.712
2001-07-03,0.706
2001-07-05,0.698
2001-07-06,0.703
2001-07-09,0.701
2001-07-10,0.71
2001-07-11,0.706
2001-07-12,0.698
2001-07-13,0.7
2001-07-16,0.702
2001-07-17,0.712
2001-07-18,0.7
2001-07-19,0.689
2001-07-20,0.694
2001-07-23,0.682
2001-07-24,0.68
2001-07-25,0.682
2001-07-26,0.68
2001-07-27,0.674
2001-07-30,0.674
2001-07-31,0.678
2001-08-01,0.683
2001-08-02,0.678
2001-08-03,0.673
2001-08-06,0.667
2001-08-07,0.665
2001-08-08,0.658
2001-08-09,0.664
2001-08-10,0.659
2001-08-13,0.654
2001-08-14,0.662
2001-08-15,0.656
2001-08-16,0.664
2001-08-17,0.684
2001-08-20,0.674
2001-08-21,0.67
2001-08-22,0.675
2001-08-23,0.683
2001-08-24,0.682
2001-08-27,0.694
2001-08-28,0.689
2001-08-29,0.695
2001-08-30,0.681
2001-08-31,0.678
2001-09-04,0.673
2001-09-05,0.671
2001-09-06,0.66
2001-09-07,0.652
2001-09-10,0.651
2001-09-11,0.655
2001-09-14,0.657
2001-09-17,0.65
2001-09-18,0.65
2001-09-19,0.649
2001-09-20,0.647
2001-09-21,0.657
2001-09-24,0.653
2001-09-25,0.647
2001-09-26,0.654
2001-09-27,0.65
2001-09-28,0.646
2001-10-01,0.645
2001-10-02,0.644
2001-10-03,0.636
2001-10-04,0.639
2001-10-05,0.635
2001-10-08,0.637
2001-10-09,0.636
2001-10-10,0.635
2001-10-11,0.638
2001-10-12,0.636
2001-10-15,0.635
2001-10-16,0.64
2001-10-17,0.635
2001-10-18,0.628
2001-10-19,0.621
2001-10-22,0.621
2001-10-23,0.626
2001-10-24,0.618
2001-10-25,0.621
2001-10-26,0.631
2001-10-29,0.628
2001-10-30,0.634
2001-10-31,0.622
2001-11-01,0.618
2001-11-02,0.612
2001-11-05,0.614
2001-11-06,0.613
