Date,Close
2009-04-16,30.4
2009-04-17,30.49
2009-04-20,30.29
2009-04-21,30.15
2009-04-22,30.12
2009-04-23,30.13
2009-04-24,30.15
2009-04-27,30.2
2009-04-28,30.16
2009-04-29,30.22
2009-04-30,30.22
2009-05-01,30.24
2009-05-04,30.45
2009-05-05,30.7
2009-05-06,31.02
2009-05-07,31.2
2009-05-08,31.2
2009-05-11,31.17
2009-05-12,31.04
2009-05-13,30.68
2009-05-14,30.73
2009-05-15,30.69
2009-05-18,30.84
2009-05-19,30.95
2009-05-20,31.0
2009-05-21,30.75
2009-05-22,30.95
2009-05-26,31.0
2009-05-27,31.08
2009-05-28,31.2
2009-05-29,31.25
2009-06-01,31.83
2009-06-02,31.8
2009-06-03,31.7
2009-06-04,31.94
2009-06-05,31.95
2009-06-08,31.87
2009-06-09,32.29
2009-06-10,32.42
2009-06-11,32.67
2009-06-12,32.4
2009-06-15,32.08
2009-06-16,31.85
2009-06-17,31.67
2009-06-18,31.84
2009-06-19,31.93
2009-06-22,31.7
2009-06-23,31.43
2009-06-24,31.62
2009-06-25,31.75
2009-06-26,32.0
2009-06-29,32.1
2009-06-30,32.05
2009-07-01,32.1
2009-07-02,31.9
2009-07-06,31.57
2009-07-07,31.7
2009-07-08,31.46
2009-07-09,31.58
2009-07-10,31.5
2009-07-13,31.56
2009-07-14,31.8
2009-07-15,32.5
2009-07-16,32.71
2009-07-17,32.97
2009-07-20,33.15
2009-07-21,33.25
2009-07-22,33.37
2009-07-23,33.81
2009-07-24,33.8
2009-07-27,34.05
2009-07-28,33.9
2009-07-29,33.87
2009-07-30,34.15
2009-07-31,34.03
2009-08-03,34.35
2009-08-04,34.31
2009-08-05,34.3
2009-08-06,34.23
2009-08-07,34.57
2009-08-10,34.5
2009-08-11,34.57
2009-08-12,34.65
2009-08-13,34.9
2009-08-14,34.73
2009-08-17,34.35
2009-08-18,34.22
2009-08-19,34.47
2009-08-20,34.65
2009-08-21,34.9
2009-08-24,34.73
2009-08-25,34.85
2009-08-26,34.7
2009-08-27,34.83
2009-08-28,34.97
2009-08-31,34.9
2009-09-01,34.49
2009-09-02,34.55
2009-09-03,34.63
2009-09-04,35.13
2009-09-08,35.13
2009-09-09,35.4
2009-09-10,35.75
2009-09-11,35.73
2009-09-14,35.88
2009-09-15,36.6
2009-09-16,36.43
2009-09-17,36.2
2009-09-18,36.34
2009-09-21,36.13
2009-09-22,36.35
2009-09-23,36.31
2009-09-24,36.1
2009-09-25,35.86
2009-09-28,36.2
2009-09-29,36.16
2009-09-30,36.24
2009-10-01,35.58
2009-10-02,35.45
2009-10-05,35.62
2009-10-06,35.89
2009-10-07,35.75
2009-10-08,36.04
2009-10-09,36.19
2009-10-12,36.45
2009-10-13,36.45
2009-10-14,36.66
2009-10-15,36.85
2009-10-16,36.96
2009-10-19,36.9
2009-10-20,36.83
2009-10-21,36.43
2009-10-22,36.8
2009-10-23,36.82
2009-10-26,36.57
2009-10-27,36.53
2009-10-28,35.6
2009-10-29,35.9
2009-10-30,35.74
2009-11-02,35.81
2009-11-03,35.83
2009-11-04,35.88
2009-11-05,35.96
2009-11-06,35.93
2009-11-09,36.56
2009-11-10,36.79
2009-11-11,36.86
2009-11-12,36.68
2009-11-13,36.89
2009-11-16,36.99
2009-11-17,36.93
2009-11-18,37.18
2009-11-19,36.86
2009-11-20,36.8
2009-11-23,37.05
2009-11-24,37.11
2009-11-25,37.16
2009-11-27,36.99
2009-11-30,37.09
2009-12-01,37.21
2009-12-02,37.4
2009-12-03,37.02
2009-12-04,37.2
2009-12-07,37.24
2009-12-08,37.15
2009-12-09,37.02
2009-12-10,37.17
2009-12-11,37.45
2009-12-14,37.55
2009-12-15,37.59
2009-12-16,37.84
2009-12-17,37.46
2009-12-18,37.4
2009-12-21,37.82
2009-12-22,37.82
2009-12-23,38.2
2009-12-24,38.23
2009-12-28,38.29
2009-12-29,37.9
2009-12-30,37.92
2009-12-31,37.79
2010-01-04,38.21
2010-01-05,38.56
2010-01-06,38.47
2010-01-07,38.58
2010-01-08,38.56
2010-01-11,38.81
2010-01-12,38.55
2010-01-13,38.44
2010-01-14,38.69
2010-01-15,38.52
2010-01-19,38.85
2010-01-20,38.55
2010-01-21,37.83
2010-01-22,36.76
2010-01-25,36.92
2010-01-26,37.0
2010-01-27,36.95
2010-01-28,36.87
2010-01-29,36.68
2010-02-01,36.86
2010-02-02,37.15
2010-02-03,37.18
2010-02-04,36.51
2010-02-05,35.84
2010-02-08,36.25
2010-02-09,36.5
2010-02-10,36.29
2010-02-11,36.52
2010-02-12,36.44
2010-02-16,36.98
2010-02-17,37.39
2010-02-18,37.5
2010-02-19,37.53
2010-02-22,37.48
2010-02-23,37.07
2010-02-24,37.51
2010-02-25,37.35
2010-02-26,37.68
2010-03-01,37.78
2010-03-02,38.14
2010-03-03,38.05
2010-03-04,38.31
