Date,Close
2007-01-05,25.02
2007-01-08,24.98
2007-01-09,24.66
2007-01-10,24.73
2007-01-11,25.1
2007-01-12,27.1
2007-01-16,26.0
2007-01-17,25.87
2007-01-18,26.0
2007-01-19,25.85
2007-01-22,26.1
2007-01-23,26.57
2007-01-24,26.05
2007-01-25,25.93
2007-01-26,26.04
2007-01-29,25.6
2007-01-30,25.92
2007-01-31,25.9
2007-02-01,25.8
2007-02-02,26.03
2007-02-05,26.08
2007-02-06,25.7
2007-02-07,25.66
2007-02-08,25.88
2007-02-09,26.16
2007-02-12,25.94
2007-02-13,26.17
2007-02-14,26.0
2007-02-15,26.32
2007-02-16,26.74
2007-02-20,26.66
2007-02-21,26.96
2007-02-22,27.5
2007-02-23,27.19
2007-02-26,27.16
2007-02-27,26.53
2007-02-28,27.0
2007-03-01,26.64
2007-03-02,26.39
2007-03-05,26.34
2007-03-06,26.2
2007-03-07,26.44
2007-03-08,26.42
2007-03-09,26.31
2007-03-12,26.13
2007-03-13,25.89
2007-03-14,25.98
2007-03-15,25.6
2007-03-16,25.92
2007-03-19,25.99
2007-03-20,26.18
2007-03-21,26.32
2007-03-22,26.35
2007-03-23,26.28
2007-03-26,25.8
2007-03-27,25.92
2007-03-28,26.07
2007-03-29,26.09
2007-03-30,25.19
2007-04-02,25.07
2007-04-03,24.88
2007-04-04,25.18
2007-04-05,25.43
2007-04-09,25.46
2007-04-10,25.55
2007-04-11,25.57
2007-04-12,25.49
2007-04-13,25.82
2007-04-16,25.61
2007-04-17,25.27
2007-04-18,25.12
2007-04-19,25.43
2007-04-20,25.5
2007-04-23,25.0
2007-04-24,24.95
2007-04-25,25.55
2007-04-26,25.44
2007-04-27,25.11
2007-04-30,24.85
2007-05-01,25.26
2007-05-02,25.12
2007-05-03,25.44
2007-05-04,25.61
2007-05-07,25.32
2007-05-08,24.83
2007-05-09,24.9
2007-05-10,24.72
2007-05-11,25.33
2007-05-14,25.26
2007-05-15,25.34
2007-05-16,25.3
2007-05-17,25.13
2007-05-18,24.88
2007-05-21,25.34
2007-05-22,24.99
2007-05-23,25.1
2007-05-24,25.55
2007-05-25,26.0
2007-05-29,25.58
2007-05-30,26.23
2007-05-31,26.35
2007-06-01,26.39
2007-06-04,26.23
2007-06-05,26.31
2007-06-06,26.11
2007-06-07,26.56
2007-06-08,26.43
2007-06-11,26.86
2007-06-12,26.97
2007-06-13,27.28
2007-06-14,27.5
2007-06-15,27.87
2007-06-18,28.15
2007-06-19,27.12
2007-06-20,27.23
2007-06-21,27.17
2007-06-22,26.69
2007-06-25,26.3
2007-06-26,26.67
2007-06-27,26.24
2007-06-28,26.31
2007-06-29,26.4
2007-07-02,26.31
2007-07-03,25.97
2007-07-05,26.37
2007-07-06,26.71
2007-07-09,26.64
2007-07-10,27.16
2007-07-11,27.18
2007-07-12,27.45
2007-07-13,27.57
2007-07-16,26.64
2007-07-17,26.1
2007-07-18,26.57
2007-07-19,26.45
2007-07-20,26.38
2007-07-23,25.7
2007-07-24,25.93
2007-07-25,26.03
2007-07-26,26.12
2007-07-27,26.0
2007-07-30,25.83
2007-07-31,26.21
2007-08-01,25.91
2007-08-02,26.15
2007-08-03,26.03
2007-08-06,26.09
2007-08-07,26.25
2007-08-08,26.52
2007-08-09,26.3
2007-08-10,26.38
2007-08-13,26.43
2007-08-14,26.36
2007-08-15,26.13
2007-08-16,25.6
2007-08-17,25.78
2007-08-20,25.9
2007-08-21,26.06
2007-08-22,26.69
2007-08-23,26.6
2007-08-24,26.73
2007-08-27,26.61
2007-08-28,26.49
2007-08-29,26.54
2007-08-30,26.89
2007-08-31,26.64
2007-09-04,27.34
2007-09-05,27.32
2007-09-06,26.88
2007-09-07,27.0
2007-09-10,26.88
2007-09-11,26.99
2007-09-12,27.37
2007-09-13,27.16
2007-09-14,27.37
2007-09-17,27.57
2007-09-18,27.7
2007-09-19,27.9
2007-09-20,28.62
2007-09-21,28.77
2007-09-24,28.83
2007-09-25,28.76
2007-09-26,29.06
2007-09-27,29.95
2007-09-28,29.5
2007-10-01,29.35
2007-10-02,28.2
2007-10-03,28.37
2007-10-04,28.31
2007-10-05,28.42
2007-10-08,27.78
2007-10-09,28.2
2007-10-10,28.37
2007-10-11,28.6
2007-10-12,28.78
2007-10-15,29.04
2007-10-16,29.04
2007-10-17,28.93
2007-10-18,29.36
2007-10-19,29.58
2007-10-22,29.42
2007-10-23,28.99
2007-10-24,28.59
2007-10-25,29.1
2007-10-26,29.28
2007-10-29,29.81
2007-10-30,29.27
2007-10-31,29.27
2007-11-01,29.0
2007-11-02,29.49
2007-11-05,29.37
2007-11-06,30.29
2007-11-07,29.82
2007-11-08,29.95
2007-11-09,29.87
2007-11-12,29.38
2007-11-13,29.39
2007-11-14,29.91
2007-11-15,29.46
2007-11-16,29.76
2007-11-19,29.7
2007-11-20,30.09
2007-11-21,30.51
2007-11-23,30.74
2007-11-26,30.29
2007-11-27,30.58
2007-11-28,30.74
2007-11-29,30.79
2007-11-30,30.65
2007-12-03,30.86
2007-12-04,31.39
2007-12-05,31.35
2007-12-06,31.46
2007-12-07,32.07
2007-12-10,32.19
2007-12-11,32.18
2007-12-12,32.63
2007-12-13,32.28
2007-12-14,32.21
2007-12-17,31.7
2007-12-18,31.63
2007-12-19,32.19
2007-12-20,32.38
2007-12-21,32.8
2007-12-24,33.26
2007-12-26,33.54
2007-12-27,33.22
2007-12-28,32.99
2007-12-31,32.99
2008-01-02,33.43
2008-01-03,34.22
2008-01-04,34.58
2008-01-07,34.12
