Date,Close
2007-12-19,101.22
2007-12-20,101.26
2007-12-21,101.15
2007-12-24,101.33
2007-12-26,101.41
2007-12-27,101.17
2007-12-28,101.21
2007-12-31,101.35
2008-01-02,101.49
2008-01-03,101.67
2008-01-04,101.72
2008-01-07,101.95
2008-01-08,102.2
2008-01-09,102.12
2008-01-10,102.21
2008-01-11,101.84
2008-01-14,102.19
2008-01-15,102.36
2008-01-16,102.5
2008-01-17,102.41
2008-01-18,102.47
2008-01-22,101.98
2008-01-23,102.0
2008-01-24,102.02
2008-01-25,102.18
2008-01-28,102.14
2008-01-29,101.97
2008-01-30,102.28
2008-01-31,102.31
2008-02-01,101.84
2008-02-04,101.88
2008-02-05,101.65
2008-02-06,101.69
2008-02-07,101.33
2008-02-08,100.94
2008-02-11,100.89
2008-02-12,100.92
2008-02-13,101.11
2008-02-14,101.1
2008-02-15,101.29
2008-02-19,100.53
2008-02-20,100.53
2008-02-21,100.42
2008-02-22,100.79
2008-02-25,100.92
2008-02-26,101.01
2008-02-27,101.21
2008-02-28,101.12
2008-02-29,101.42
2008-03-03,101.01
2008-03-04,100.88
2008-03-05,101.02
2008-03-06,100.87
2008-03-07,100.77
2008-03-10,100.78
2008-03-11,100.69
2008-03-12,100.74
2008-03-13,100.5
2008-03-14,100.94
2008-03-17,100.73
2008-03-18,101.23
2008-03-19,101.35
2008-03-20,101.33
2008-03-24,101.35
2008-03-25,101.15
2008-03-26,101.35
2008-03-27,101.31
2008-03-28,101.12
2008-03-31,101.09
2008-04-01,100.52
2008-04-02,100.83
2008-04-03,100.91
2008-04-04,101.23
2008-04-07,101.5
2008-04-08,101.53
2008-04-09,101.52
2008-04-10,101.78
2008-04-11,101.89
2008-04-14,101.92
2008-04-15,102.03
2008-04-16,102.12
2008-04-17,101.99
2008-04-18,101.77
2008-04-21,101.76
2008-04-22,101.63
2008-04-23,101.51
2008-04-24,101.45
2008-04-25,101.3
2008-04-28,101.15
2008-04-29,101.16
2008-04-30,101.8
2008-05-01,101.52
2008-05-02,101.94
2008-05-05,101.9
2008-05-06,101.76
2008-05-07,101.59
2008-05-08,101.61
2008-05-09,101.64
2008-05-12,101.5
2008-05-13,101.42
2008-05-14,101.21
2008-05-15,101.54
2008-05-16,101.88
2008-05-19,101.9
2008-05-20,102.05
2008-05-21,102.07
2008-05-22,101.76
2008-05-23,101.93
2008-05-27,101.81
2008-05-28,101.7
2008-05-29,101.38
2008-05-30,101.46
2008-06-02,101.16
2008-06-03,101.33
2008-06-04,101.37
2008-06-05,101.18
2008-06-06,101.28
2008-06-09,101.28
2008-06-10,100.79
2008-06-11,100.84
2008-06-12,100.29
2008-06-13,100.16
2008-06-16,99.87
2008-06-17,100.13
2008-06-18,100.0
2008-06-19,99.89
2008-06-20,99.85
2008-06-23,99.69
2008-06-24,99.6
2008-06-25,99.65
2008-06-26,99.42
2008-06-27,98.84
2008-06-30,99.0
2008-07-01,98.1
2008-07-02,98.36
2008-07-03,98.28
2008-07-07,98.49
2008-07-08,98.56
2008-07-09,98.42
2008-07-10,98.27
2008-07-11,98.59
2008-07-14,98.68
2008-07-15,98.65
2008-07-16,98.56
2008-07-17,98.88
2008-07-18,98.9
2008-07-21,99.11
2008-07-22,98.6
2008-07-23,98.71
2008-07-24,98.41
2008-07-25,98.81
2008-07-28,98.74
2008-07-29,98.99
2008-07-30,99.21
2008-07-31,99.4
2008-08-01,98.65
2008-08-04,98.95
2008-08-05,98.97
2008-08-06,98.99
2008-08-07,99.05
2008-08-08,98.79
2008-08-11,98.87
2008-08-12,99.06
2008-08-13,99.08
2008-08-14,99.11
2008-08-15,99.29
