Date,Close
2011-11-01,19.96
2011-11-02,20.11
2011-11-03,20.06
2011-11-04,20.28
2011-11-07,20.43
2011-11-08,20.71
2011-11-09,19.84
2011-11-10,20.12
2011-11-11,20.44
2011-11-14,19.95
2011-11-15,20.1
2011-11-16,19.62
2011-11-17,19.2
2011-11-18,19.37
2011-11-21,18.84
2011-11-22,18.55
2011-11-23,18.08
2011-11-25,18.08
2011-11-28,18.33
2011-11-29,18.57
2011-11-30,19.24
2011-12-01,19.51
2011-12-02,20.18
2011-12-05,20.67
2011-12-06,20.26
2011-12-07,20.1
2011-12-08,19.69
2011-12-09,20.23
2011-12-12,19.73
2011-12-13,19.42
2011-12-14,19.32
2011-12-15,19.39
2011-12-16,19.19
2011-12-19,18.7
2011-12-20,19.53
2011-12-21,19.61
2011-12-22,20.26
2011-12-23,20.37
2011-12-27,20.22
2011-12-28,19.83
2011-12-29,20.24
2011-12-30,20.1
2012-01-03,20.73
2012-01-04,20.87
2012-01-05,21.33
2012-01-06,21.27
2012-01-09,21.49
2012-01-10,21.87
2012-01-11,22.15
2012-01-12,22.29
2012-01-13,22.26
2012-01-17,21.92
2012-01-18,22.1
2012-01-19,22.15
2012-01-20,22.19
2012-01-23,22.24
2012-01-24,22.22
2012-01-25,22.24
2012-01-26,21.7
2012-01-27,21.92
2012-01-30,21.71
2012-01-31,21.79
2012-02-01,22.16
2012-02-02,22.31
2012-02-03,23.03
2012-02-06,22.96
2012-02-07,22.97
2012-02-08,23.11
2012-02-09,23.11
2012-02-10,22.8
2012-02-13,22.99
2012-02-14,22.66
2012-02-15,22.63
2012-02-16,23.1
2012-02-17,23.33
2012-02-21,23.27
2012-02-22,22.83
2012-02-23,23.0
2012-02-24,22.9
2012-02-27,23.2
2012-02-28,23.29
2012-02-29,23.23
2012-03-01,23.46
2012-03-02,23.39
2012-03-05,23.06
2012-03-06,22.38
2012-03-07,22.85
2012-03-08,23.2
2012-03-09,23.44
2012-03-12,23.24
2012-03-13,24.32
2012-03-14,24.64
2012-03-15,25.32
2012-03-16,25.29
2012-03-19,25.42
2012-03-20,25.54
2012-03-21,25.4
2012-03-22,25.0
2012-03-23,25.21
2012-03-26,25.58
2012-03-27,25.25
2012-03-28,25.51
2012-03-29,25.15
2012-03-30,25.33
2012-04-02,25.49
2012-04-03,25.4
2012-04-04,24.99
2012-04-05,24.91
2012-04-09,24.43
2012-04-10,23.88
2012-04-11,24.34
2012-04-12,24.76
2012-04-13,24.04
2012-04-16,24.29
2012-04-17,24.79
2012-04-18,24.59
2012-04-19,24.4
2012-04-20,24.26
2012-04-23,24.11
2012-04-24,24.34
2012-04-25,24.62
2012-04-26,24.86
2012-04-27,24.94
2012-04-30,24.61
2012-05-01,24.95
2012-05-02,24.72
2012-05-03,24.6
2012-05-04,24.11
2012-05-07,24.33
2012-05-08,24.11
2012-05-09,23.84
2012-05-10,23.9
2012-05-11,23.68
2012-05-14,23.09
2012-05-15,22.84
2012-05-16,22.59
2012-05-17,22.22
2012-05-18,21.97
2012-05-21,22.08
2012-05-22,22.37
2012-05-23,22.45
2012-05-24,22.54
2012-05-25,22.52
2012-05-29,22.84
2012-05-30,22.3
2012-05-31,22.53
2012-06-01,21.44
2012-06-04,20.97
2012-06-05,21.25
2012-06-06,21.84
2012-06-07,21.94
2012-06-08,22.26
2012-06-11,21.79
2012-06-12,22.22
2012-06-13,22.2
2012-06-14,22.49
2012-06-15,22.85
2012-06-18,22.74
2012-06-19,23.2
2012-06-20,23.22
2012-06-21,22.68
2012-06-22,23.05
2012-06-25,22.43
2012-06-26,22.53
2012-06-27,22.84
2012-06-28,22.77
2012-06-29,23.39
2012-07-02,23.52
2012-07-03,23.63
2012-07-05,23.27
2012-07-06,23.13
2012-07-09,22.98
2012-07-10,22.79
2012-07-11,23.06
2012-07-12,22.74
2012-07-13,23.47
2012-07-16,23.46
2012-07-17,23.67
2012-07-18,23.53
2012-07-19,23.41
2012-07-20,22.94
2012-07-23,22.72
2012-07-24,22.73
2012-07-25,22.85
2012-07-26,23.24
2012-07-27,23.57
2012-07-30,23.36
2012-07-31,23.29
2012-08-01,23.2
2012-08-02,22.84
2012-08-03,23.58
2012-08-06,23.59
2012-08-07,24.0
2012-08-08,23.81
2012-08-09,23.82
2012-08-10,23.7
2012-08-13,23.87
2012-08-14,23.94
2012-08-15,23.94
2012-08-16,24.04
2012-08-17,24.19
2012-08-20,24.24
2012-08-21,24.3
2012-08-22,24.28
2012-08-23,23.98
2012-08-24,24.17
2012-08-27,24.17
2012-08-28,24.14
2012-08-29,24.28
2012-08-30,24.14
2012-08-31,24.21
2012-09-04,24.23
2012-09-05,24.17
2012-09-06,24.84
2012-09-07,25.23
2012-09-10,25.05
2012-09-11,25.28
2012-09-12,25.44
2012-09-13,26.14
2012-09-14,26.43
2012-09-17,26.04
2012-09-18,25.9
2012-09-19,26.06
2012-09-20,25.85
2012-09-21,25.73
2012-09-24,25.81
2012-09-25,25.39
2012-09-26,25.19
2012-09-27,25.49
2012-09-28,25.38
2012-10-01,25.46
2012-10-02,25.53
2012-10-03,25.85
2012-10-04,26.37
2012-10-05,26.33
2012-10-08,26.22
2012-10-09,26.07
2012-10-10,26.1
2012-10-11,26.29
2012-10-12,25.6
2012-10-15,25.88
2012-10-16,25.8
2012-10-17,26.15
2012-10-18,26.04
2012-10-19,25.9
2012-10-22,25.82
2012-10-23,25.44
2012-10-24,25.31
2012-10-25,25.46
2012-10-26,25.24
2012-10-31,25.5
2012-11-01,25.84
2012-11-02,25.7
2012-11-05,25.62
2012-11-06,25.98
2012-11-07,24.84
2012-11-08,24.68
2012-11-09,24.7
2012-11-12,24.81
2012-11-13,24.49
2012-11-14,23.96
2012-11-15,24.07
2012-11-16,24.23
2012-11-19,24.71
2012-11-20,24.88
2012-11-21,24.85
2012-11-23,25.23
2012-11-26,25.12
2012-11-27,24.82
2012-11-28,24.88
2012-11-29,24.98
2012-11-30,24.97
2012-12-03,24.77
2012-12-04,24.58
2012-12-05,24.99
2012-12-06,25.06
2012-12-07,25.31
2012-12-10,25.36
2012-12-11,25.47
2012-12-12,25.54
2012-12-13,25.41
2012-12-14,25.36
2012-12-17,26.05
2012-12-18,26.57
2012-12-19,26.38
2012-12-20,26.69
2012-12-21,26.27
2012-12-24,26.13
2012-12-26,26.23
2012-12-27,26.11
2012-12-28,25.98
2012-12-31,26.27
2013-01-02,27.1
2013-01-03,27.08
2013-01-04,27.53
2013-01-07,27.48
2013-01-08,27.3
2013-01-09,27.13
2013-01-10,27.5
2013-01-11,27.26
2013-01-14,27.19
2013-01-15,27.39
2013-01-16,27.49
2013-01-17,27.53
2013-01-18,27.48
2013-01-22,27.64
2013-01-23,27.6
2013-01-24,27.7
2013-01-25,27.8
2013-01-28,27.69
2013-01-29,27.67
2013-01-30,27.71
2013-01-31,27.64
2013-02-01,28.08
2013-02-04,27.78
2013-02-05,28.21
2013-02-06,28.26
2013-02-07,28.18
2013-02-08,28.26
2013-02-11,28.33
2013-02-12,28.63
2013-02-13,28.48
2013-02-14,28.52
2013-02-15,28.29
2013-02-19,28.52
2013-02-20,28.04
2013-02-21,27.7
2013-02-22,27.99
2013-02-25,27.25
2013-02-26,27.37
2013-02-27,27.77
2013-02-28,27.76
2013-03-01,27.86
2013-03-04,28.14
2013-03-05,28.27
2013-03-06,28.58
2013-03-07,28.93
2013-03-08,29.1
2013-03-11,29.4
2013-03-12,29.2
2013-03-13,29.34
2013-03-14,29.51
2013-03-15,29.57
2013-03-18,29.27
2013-03-19,29.22
2013-03-20,29.37
2013-03-21,29.01
2013-03-22,29.09
2013-03-25,29.01
2013-03-26,29.1
2013-03-27,28.92
2013-03-28,28.89
2013-04-01,28.65
2013-04-02,28.64
2013-04-03,28.13
2013-04-04,28.39
2013-04-05,28.36
2013-04-08,28.66
2013-04-09,28.85
2013-04-10,29.24
2013-04-11,29.18
2013-04-12,28.86
2013-04-15,28.22
2013-04-16,28.6
2013-04-17,28.07
2013-04-18,27.76
2013-04-19,28.17
2013-04-22,28.15
2013-04-23,28.67
2013-04-24,29.04
2013-04-25,29.11
2013-04-26,28.96
2013-04-29,29.15
2013-04-30,29.23
2013-05-01,28.85
2013-05-02,29.02
2013-05-03,29.28
2013-05-06,29.68
2013-05-07,29.98
2013-05-08,30.26
2013-05-09,30.0
2013-05-10,30.11
2013-05-13,30.27
2013-05-14,30.82
2013-05-15,31.02
2013-05-16,30.97
2013-05-17,31.47
2013-05-20,31.62
2013-05-21,31.69
2013-05-22,31.36
2013-05-23,31.2
2013-05-24,31.33
2013-05-28,31.76
2013-05-29,31.85
2013-05-30,32.31
2013-05-31,31.13
2013-06-03,31.72
2013-06-04,31.41
2013-06-05,30.88
2013-06-06,31.26
2013-06-07,31.74
2013-06-10,31.92
2013-06-11,31.4
2013-06-12,31.06
2013-06-13,31.53
2013-06-14,31.03
2013-06-17,31.11
2013-06-18,31.49
2013-06-19,31.25
2013-06-20,30.83
2013-06-21,30.84
2013-06-24,30.31
2013-06-25,31.05
2013-06-26,31.32
2013-06-27,31.87
2013-06-28,31.54
2013-07-01,31.79
2013-07-02,32.0
2013-07-03,31.97
2013-07-05,32.75
2013-07-08,33.01
2013-07-09,33.17
2013-07-10,32.82
2013-07-11,32.72
2013-07-12,33.12
2013-07-15,33.3
2013-07-16,33.03
2013-07-17,33.29
2013-07-18,33.82
2013-07-19,33.92
2013-07-22,34.28
2013-07-23,34.3
2013-07-24,34.08
2013-07-25,33.97
2013-07-26,33.87
2013-07-29,33.57
2013-07-30,33.61
2013-07-31,33.79
2013-08-01,34.44
2013-08-02,34.36
2013-08-05,34.26
2013-08-06,33.91
2013-08-07,33.64
2013-08-08,33.75
2013-08-09,33.58
2013-08-12,33.51
2013-08-13,33.63
2013-08-14,33.63
2013-08-15,33.21
2013-08-16,33.29
2013-08-19,32.83
2013-08-20,33.19
2013-08-21,32.94
2013-08-22,33.43
2013-08-23,33.36
2013-08-26,33.1
2013-08-27,32.07
2013-08-28,32.15
2013-08-29,32.22
2013-08-30,32.0
2013-09-03,32.13
2013-09-04,32.36
2013-09-05,32.64
2013-09-06,32.5
2013-09-09,32.67
2013-09-10,33.03
2013-09-11,32.91
2013-09-12,32.73
2013-09-13,32.77
2013-09-16,33.05
2013-09-17,33.24
2013-09-18,33.32
2013-09-19,32.82
2013-09-20,32.62
2013-09-23,32.1
2013-09-24,31.97
2013-09-25,32.2
2013-09-26,32.09
2013-09-27,32.06
2013-09-30,31.94
2013-10-01,32.18
2013-10-02,32.06
2013-10-03,31.95
2013-10-04,32.37
2013-10-07,31.82
2013-10-08,31.5
2013-10-09,31.58
2013-10-10,32.49
2013-10-11,32.66
2013-10-14,32.86
2013-10-15,32.58
2013-10-16,33.27
2013-10-17,33.54
2013-10-18,33.66
2013-10-21,33.64
2013-10-22,33.47
2013-10-23,33.22
2013-10-24,33.23
2013-10-25,33.32
2013-10-28,33.38
2013-10-29,33.41
2013-10-30,33.35
2013-10-31,33.0
2013-11-01,33.08
2013-11-04,33.04
2013-11-05,33.02
2013-11-06,33.14
2013-11-07,32.85
2013-11-08,33.93
2013-11-11,33.89
2013-11-12,33.52
2013-11-13,33.79
2013-11-14,34.04
2013-11-15,34.13
2013-11-18,34.09
2013-11-19,34.15
2013-11-20,34.11
2013-11-21,34.64
2013-11-22,34.89
2013-11-25,35.02
2013-11-26,34.97
2013-11-27,35.06
2013-11-29,34.91
2013-12-02,34.86
2013-12-03,34.43
2013-12-04,34.65
2013-12-05,34.22
2013-12-06,34.71
2013-12-09,34.82
2013-12-10,34.71
2013-12-11,34.22
2013-12-12,34.41
2013-12-13,34.32
2013-12-16,34.62
2013-12-17,34.3
2013-12-18,35.06
2013-12-19,35.08
2013-12-20,35.04
2013-12-23,35.34
2013-12-24,35.41
2013-12-26,35.45
2013-12-27,35.43
2013-12-30,35.35
2013-12-31,35.52
2014-01-02,35.4
2014-01-03,35.64
