Date,Close
2002-12-01,123.89
2003-01-01,110.89
2003-02-01,105.36
2003-03-01,112.09
2003-04-01,89.27
2003-05-01,99.81
2003-06-01,103.6
2003-07-01,160.86
2003-08-01,126.55
2003-09-01,116.69
2003-10-01,118.76
2003-11-01,104.91
2003-12-01,117.91
2004-01-01,116.75
2004-02-01,90.14
2004-03-01,105.92
2004-04-01,122.93
2004-05-01,106.12
2004-06-01,93.91
2004-07-01,97.21
2004-08-01,102.66
2004-09-01,92.89
2004-10-01,96.45
2004-11-01,89.56
2004-12-01,86.6
2005-01-01,79.29
2005-02-01,90.05
2005-03-01,87.7
2005-04-01,82.53
2005-05-01,75.0
2005-06-01,75.6
2005-07-01,74.8
2005-08-01,78.2
2005-09-01,76.71
2005-10-01,80.08
2005-11-01,73.5
2005-12-01,72.09
2006-01-01,73.7
2006-02-01,56.86
2006-03-01,68.6
2006-04-01,63.0
2006-05-01,67.1
2006-06-01,65.5
2006-07-01,63.4
2006-08-01,59.8
2006-09-01,63.1
2006-10-01,60.9
2006-11-01,68.5
2006-12-01,66.8
2007-01-01,61.6
2007-02-01,69.8
2007-03-01,67.9
2007-04-01,59.8
2007-05-01,58.9
2007-06-01,77.5
2007-07-01,96.4
2007-08-01,111.0
2007-09-01,103.7
2007-10-01,90.18
2007-11-01,131.5
2007-12-01,145.4
2008-01-01,153.7
2008-02-01,155.2
2008-03-01,145.5
2008-04-01,119.1
2008-05-01,130.2
2008-06-01,126.0
2008-07-01,131.7
2008-08-01,103.0
2008-09-01,208.5
2008-10-01,207.2
2008-11-01,214.0
2008-12-01,190.0
2009-01-01,162.9
2009-02-01,166.6
2009-03-01,117.3
2009-04-01,124.2
2009-05-01,165.4
2009-06-01,162.5
2009-07-01,138.5
2009-08-01,130.7
2009-09-01,113.8
2009-10-01,113.5
2009-11-01,86.1
2009-12-01,107.5
2010-01-01,86.3
2010-02-01,81.2
2010-03-01,85.3
2010-04-01,85.5
2010-05-01,112.1
2010-06-01,89.7
2010-07-01,78.2
2010-08-01,103.7
2010-09-01,85.1
2010-10-01,99.8
2010-11-01,101.9
2010-12-01,110.4
2011-01-01,96.2
2011-02-01,90.5
2011-03-01,90.9
2011-04-01,76.8
2011-05-01,71.5
2011-06-01,88.9
2011-07-01,88.0
2011-08-01,97.9
2011-09-01,100.6
2011-10-01,107.2
2011-11-01,99.7
2011-12-01,91.1
2012-01-01,72.1
2012-02-01,75.9
2012-03-01,78.6
2012-04-01,62.9
2012-05-01,74.4
2012-06-01,73.2
2012-07-01,69.8
2012-08-01,68.7
2012-09-01,60.47
2012-10-01,71.43
2012-11-01,51.8
2012-12-01,59.4
2013-01-01,65.6
2013-02-01,55.88
2013-03-01,57.3
2013-04-01,49.2
2013-05-01,80.0
2013-06-01,99.8
2013-07-01,82.6
2013-08-01,103.5
2013-09-01,80.2
2013-10-01,61.7
2013-11-01,68.0
2013-12-01,73.5
2014-01-01,64.7
2014-02-01,57.7
2014-03-01,61.8
2014-04-01,58.9
2014-05-01,58.3
2014-06-01,52.7
2014-07-01,56.46
2014-08-01,60.49
2014-09-01,64.2
2014-10-01,68.7
2014-11-01,66.6
2014-12-01,68.9
2015-01-01,86.6
2015-02-01,91.4
2015-03-01,86.1
2015-04-01,75.3
2015-05-01,82.7
2015-06-01,92.3
2015-07-01,75.8
2015-08-01,87.7
2015-09-01,81.6
2015-10-01,73.1
2015-11-01,69.9
2015-12-01,67.8
2016-01-01,74.0
2016-02-01,83.39
2016-03-01,68.8
2016-04-01,64.92
2016-05-01,67.91
2016-06-01,72.64
2016-07-01,64.15
2016-08-01,69.08
2016-09-01,60.56
2016-10-01,65.47
2016-11-01,80.96
2016-12-01,71.63
2017-01-01,72.52
2017-02-01,70.89
2017-03-01,60.7
2017-04-01,60.19
2017-05-01,53.95
2017-06-01,55.22
2017-07-01,48.14
2017-08-01,51.13
2017-09-01,52.88
2017-10-01,51.15
2017-11-01,46.83
2017-12-01,46.6
2018-01-01,57.2
2018-02-01,62.97
2018-03-01,58.54
2018-04-01,50.35
2018-05-01,60.54
2018-06-01,51.17
2018-07-01,46.5
2018-08-01,50.71
2018-09-01,46.16
2018-10-01,60.13
2018-11-01,52.43
2018-12-01,66.58
2019-01-01,49.81
2019-02-01,47.22
2019-03-01,58.55
2019-04-01,49.47
2019-05-01,72.68
2019-06-01,70.43
2019-07-01,55.25
2019-08-01,86.89
2019-09-01,77.2
2019-10-01,65.88
2019-11-01,56.57
2019-12-01,58.28
2020-01-01,72.98
2020-02-01,109.67
2020-03-01,83.87
2020-04-01,53.59
2020-05-01,51.55
2020-06-01,54.13
2020-07-01,41.98
2020-08-01,47.02
2020-09-01,39.21
2020-10-01,61.91
2020-11-01,40.84
2020-12-01,48.98
2021-01-01,47.41
2021-02-01,75.66
2021-03-01,71.27
2021-04-01,58.13
2021-05-01,52.04
2021-06-01,57.27
2021-07-01,61.19
2021-08-01,59.54
2021-09-01,61.07
2021-10-01,75.45
2021-11-01,84.04
2021-12-01,77.1
2022-01-01,85.14
2022-02-01,100.4
2022-03-01,105.31
2026-08-06,76.117
