Date,Close
2019-06-07,-0.095
2019-06-14,-0.083
2019-06-21,-0.069
2019-06-28,-0.057
2019-07-05,-0.044
2019-07-12,-0.031
2019-07-19,-0.017
2019-07-26,-0.003
2019-08-02,0.012
2019-08-09,0.026
2019-08-16,0.039
2019-08-23,0.051
2019-08-30,0.06
2019-09-06,0.067
2019-09-13,0.071
2019-09-20,0.072
2019-09-27,0.07
2019-10-04,0.065
2019-10-11,0.059
2019-10-18,0.052
2019-10-25,0.046
2019-11-01,0.043
2019-11-08,0.043
2019-11-15,0.048
2019-11-22,0.057
2019-11-29,0.071
2019-12-06,0.091
2019-12-13,0.114
2019-12-20,0.141
2019-12-27,0.172
2020-01-03,0.207
2020-01-10,0.246
2020-01-17,0.291
2020-01-24,0.341
2020-01-31,0.397
2020-02-07,0.461
2020-02-14,0.531
2020-02-21,0.606
2020-02-28,0.683
2020-03-06,0.758
2020-03-13,0.826
2020-03-20,0.883
2020-03-27,0.925
2020-04-03,0.951
2020-04-10,0.958
2020-04-17,0.949
2020-04-24,0.922
2020-05-01,0.88
2020-05-08,0.824
2020-05-15,0.758
2020-05-22,0.684
2020-05-29,0.606
2020-06-05,0.529
2020-06-12,0.458
2020-06-19,0.394
2020-06-26,0.343
2020-07-03,0.305
2020-07-10,0.281
2020-07-17,0.272
2020-07-24,0.274
2020-07-31,0.288
2020-08-07,0.31
2020-08-14,0.338
2020-08-21,0.37
2020-08-28,0.403
2020-09-04,0.437
2020-09-11,0.469
2020-09-18,0.499
2020-09-25,0.524
2020-10-02,0.543
2020-10-09,0.555
2020-10-16,0.558
2020-10-23,0.551
2020-10-30,0.536
2020-11-06,0.511
2020-11-13,0.479
2020-11-20,0.442
2020-11-27,0.399
2020-12-04,0.355
2020-12-11,0.31
2020-12-18,0.264
2020-12-25,0.217
2021-01-01,0.169
2021-01-08,0.117
2021-01-15,0.061
2021-01-22,0.0
2021-01-29,-0.068
2021-02-05,-0.143
2021-02-12,-0.221
2021-02-19,-0.302
2021-02-26,-0.381
2021-03-05,-0.454
2021-03-12,-0.518
2021-03-19,-0.57
2021-03-26,-0.609
2021-04-02,-0.636
2021-04-09,-0.65
2021-04-16,-0.655
2021-04-23,-0.652
2021-04-30,-0.644
2021-05-07,-0.631
2021-05-14,-0.615
2021-05-21,-0.593
2021-05-28,-0.568
2021-06-04,-0.537
2021-06-11,-0.501
2021-06-18,-0.458
2021-06-25,-0.412
2021-07-02,-0.364
2021-07-09,-0.315
2021-07-16,-0.269
2021-07-23,-0.228
2021-07-30,-0.196
2021-08-06,-0.174
2021-08-13,-0.163
2021-08-20,-0.164
2021-08-27,-0.176
2021-09-03,-0.199
2021-09-10,-0.231
2021-09-17,-0.269
2021-09-24,-0.31
2021-10-01,-0.35
2021-10-08,-0.386
2021-10-15,-0.415
2021-10-22,-0.434
2021-10-29,-0.442
2021-11-05,-0.441
2021-11-12,-0.433
2021-11-19,-0.419
2021-11-26,-0.403
2021-12-03,-0.387
2021-12-10,-0.375
2021-12-17,-0.368
2021-12-24,-0.369
2021-12-31,-0.377
2022-01-07,-0.393
2022-01-14,-0.415
2022-01-21,-0.444
2022-01-28,-0.475
2022-02-04,-0.509
2022-02-11,-0.542
2022-02-18,-0.571
2022-02-25,-0.595
2022-03-04,-0.612
2022-03-11,-0.621
2022-03-18,-0.619
2022-03-25,-0.605
2022-04-01,-0.58
2022-04-08,-0.543
2022-04-15,-0.495
2022-04-22,-0.437
2022-04-29,-0.372
2022-05-06,-0.301
2022-05-13,-0.229
2022-05-20,-0.158
2022-05-27,-0.09
2022-06-03,-0.028
2022-06-10,0.027
2022-06-17,0.073
2022-06-24,0.107
2022-07-01,0.13
2022-07-08,0.142
2022-07-15,0.143
2022-07-22,0.135
2022-07-29,0.12
2022-08-05,0.101
2022-08-12,0.079
2022-08-19,0.059
2022-08-26,0.04
2022-09-02,0.024
2022-09-09,0.011
2022-09-16,-0.001
2022-09-23,-0.011
2022-09-30,-0.021
2022-10-07,-0.031
2022-10-14,-0.044
2022-10-21,-0.058
2022-10-28,-0.076
2022-11-04,-0.095
2022-11-11,-0.117
2022-11-18,-0.14
2022-11-25,-0.166
2022-12-02,-0.195
2022-12-09,-0.227
2022-12-16,-0.262
2022-12-23,-0.299
2022-12-30,-0.337
2023-01-06,-0.373
2023-01-13,-0.405
2023-01-20,-0.429
2023-01-27,-0.442
2023-02-03,-0.443
2023-02-10,-0.429
2023-02-17,-0.398
2023-02-24,-0.351
2023-03-03,-0.286
2023-03-10,-0.206
2023-03-17,-0.112
2023-03-24,-0.007
2023-03-31,0.107
2023-04-07,0.23
2023-04-14,0.357
2023-04-21,0.487
2023-04-28,0.617
2023-05-05,0.742
2023-05-12,0.857
2023-05-19,0.958
2023-05-26,1.04
2023-06-02,1.098
2023-06-09,1.131
2023-06-16,1.135
2023-06-23,1.111
2023-06-30,1.06
2023-07-07,0.984
2023-07-14,0.888
2023-07-21,0.777
2023-07-28,0.659
2023-08-04,0.538
2023-08-11,0.424
2023-08-18,0.322
2023-08-25,0.235
2023-09-01,0.166
2023-09-08,0.116
2023-09-15,0.083
2023-09-22,0.065
2023-09-29,0.06
2023-10-06,0.062
2023-10-13,0.069
2023-10-20,0.079
2023-10-27,0.087
2023-11-03,0.094
2023-11-10,0.097
2023-11-17,0.096
2023-11-24,0.091
2023-12-01,0.082
2023-12-08,0.068
2023-12-15,0.052
2023-12-22,0.032
2023-12-29,0.011
2024-01-05,-0.01
2024-01-12,-0.03
2024-01-19,-0.049
2024-01-26,-0.065
2024-02-02,-0.079
2024-02-09,-0.09
2024-02-16,-0.101
2024-02-23,-0.111
2024-03-01,-0.12
2024-03-08,-0.131
2024-03-15,-0.143
2024-03-22,-0.156
2024-03-29,-0.17
2024-04-05,-0.184
2024-04-12,-0.198
2024-04-19,-0.21
