Date,Close
1996-12-06,-0.708
1996-12-13,-0.688
1996-12-20,-0.67
1996-12-27,-0.656
1997-01-03,-0.648
1997-01-10,-0.645
1997-01-17,-0.647
1997-01-24,-0.653
1997-01-31,-0.661
1997-02-07,-0.668
1997-02-14,-0.674
1997-02-21,-0.676
1997-02-28,-0.673
1997-03-07,-0.665
1997-03-14,-0.653
1997-03-21,-0.637
1997-03-28,-0.62
1997-04-04,-0.601
1997-04-11,-0.584
1997-04-18,-0.567
1997-04-25,-0.553
1997-05-02,-0.543
1997-05-09,-0.535
1997-05-16,-0.531
1997-05-23,-0.53
1997-05-30,-0.533
1997-06-06,-0.538
1997-06-13,-0.547
1997-06-20,-0.557
1997-06-27,-0.569
1997-07-04,-0.581
1997-07-11,-0.591
1997-07-18,-0.598
1997-07-25,-0.602
1997-08-01,-0.603
1997-08-08,-0.599
1997-08-15,-0.592
1997-08-22,-0.581
1997-08-29,-0.568
1997-09-05,-0.551
1997-09-12,-0.532
1997-09-19,-0.511
1997-09-26,-0.486
1997-10-03,-0.459
1997-10-10,-0.43
1997-10-17,-0.401
1997-10-24,-0.374
1997-10-31,-0.352
1997-11-07,-0.339
1997-11-14,-0.333
1997-11-21,-0.338
1997-11-28,-0.351
1997-12-05,-0.371
1997-12-12,-0.394
1997-12-19,-0.42
1997-12-26,-0.447
1998-01-02,-0.472
1998-01-09,-0.493
1998-01-16,-0.513
1998-01-23,-0.531
1998-01-30,-0.546
1998-02-06,-0.56
1998-02-13,-0.571
1998-02-20,-0.578
1998-02-27,-0.582
1998-03-06,-0.581
1998-03-13,-0.578
1998-03-20,-0.573
1998-03-27,-0.566
1998-04-03,-0.559
1998-04-10,-0.552
1998-04-17,-0.547
1998-04-24,-0.542
1998-05-01,-0.539
1998-05-08,-0.539
1998-05-15,-0.539
1998-05-22,-0.54
1998-05-29,-0.541
1998-06-05,-0.544
1998-06-12,-0.547
1998-06-19,-0.551
1998-06-26,-0.554
1998-07-03,-0.557
1998-07-10,-0.555
1998-07-17,-0.549
1998-07-24,-0.536
1998-07-31,-0.513
1998-08-07,-0.479
1998-08-14,-0.434
1998-08-21,-0.377
1998-08-28,-0.311
1998-09-04,-0.24
1998-09-11,-0.168
1998-09-18,-0.097
1998-09-25,-0.033
1998-10-02,0.018
1998-10-09,0.054
1998-10-16,0.068
1998-10-23,0.058
1998-10-30,0.03
1998-11-06,-0.01
1998-11-13,-0.055
1998-11-20,-0.103
1998-11-27,-0.146
1998-12-04,-0.183
1998-12-11,-0.213
1998-12-18,-0.237
1998-12-25,-0.255
1999-01-01,-0.269
1999-01-08,-0.278
1999-01-15,-0.287
1999-01-22,-0.297
1999-01-29,-0.31
1999-02-05,-0.324
1999-02-12,-0.34
1999-02-19,-0.356
1999-02-26,-0.371
1999-03-05,-0.384
1999-03-12,-0.397
1999-03-19,-0.407
1999-03-26,-0.415
1999-04-02,-0.42
1999-04-09,-0.425
1999-04-16,-0.429
1999-04-23,-0.432
1999-04-30,-0.435
1999-05-07,-0.435
1999-05-14,-0.431
1999-05-21,-0.423
1999-05-28,-0.41
1999-06-04,-0.394
1999-06-11,-0.373
1999-06-18,-0.349
1999-06-25,-0.322
1999-07-02,-0.292
1999-07-09,-0.26
1999-07-16,-0.227
1999-07-23,-0.196
1999-07-30,-0.169
1999-08-06,-0.147
1999-08-13,-0.131
1999-08-20,-0.121
1999-08-27,-0.113
1999-09-03,-0.104
1999-09-10,-0.092
1999-09-17,-0.077
1999-09-24,-0.06
1999-10-01,-0.043
1999-10-08,-0.028
1999-10-15,-0.023
1999-10-22,-0.028
1999-10-29,-0.044
1999-11-05,-0.069
1999-11-12,-0.1
1999-11-19,-0.134
1999-11-26,-0.164
1999-12-03,-0.189
1999-12-10,-0.209
1999-12-17,-0.222
1999-12-24,-0.232
1999-12-31,-0.238
2000-01-07,-0.244
2000-01-14,-0.248
2000-01-21,-0.251
2000-01-28,-0.252
2000-02-04,-0.25
2000-02-11,-0.246
2000-02-18,-0.237
2000-02-25,-0.223
2000-03-03,-0.205
2000-03-10,-0.181
2000-03-17,-0.153
2000-03-24,-0.123
2000-03-31,-0.092
2000-04-07,-0.065
2000-04-14,-0.039
2000-04-21,-0.013
2000-04-28,0.014
2000-05-05,0.041
2000-05-12,0.065
2000-05-19,0.086
2000-05-26,0.1
2000-06-02,0.106
2000-06-09,0.102
2000-06-16,0.088
2000-06-23,0.066
2000-06-30,0.036
2000-07-07,0.001
2000-07-14,-0.037
2000-07-21,-0.075
2000-07-28,-0.11
2000-08-04,-0.14
2000-08-11,-0.164
2000-08-18,-0.181
2000-08-25,-0.19
2000-09-01,-0.193
2000-09-08,-0.189
2000-09-15,-0.183
2000-09-22,-0.176
2000-09-29,-0.169
2000-10-06,-0.165
2000-10-13,-0.162
2000-10-20,-0.163
2000-10-27,-0.165
2000-11-03,-0.166
2000-11-10,-0.165
2000-11-17,-0.162
2000-11-24,-0.155
2000-12-01,-0.147
2000-12-08,-0.142
2000-12-15,-0.141
2000-12-22,-0.146
2000-12-29,-0.161
2001-01-05,-0.183
2001-01-12,-0.212
2001-01-19,-0.243
2001-01-26,-0.272
2001-02-02,-0.294
2001-02-09,-0.308
2001-02-16,-0.312
2001-02-23,-0.306
2001-03-02,-0.294
2001-03-09,-0.279
2001-03-16,-0.263
2001-03-23,-0.251
2001-03-30,-0.247
2001-04-06,-0.251
2001-04-13,-0.265
2001-04-20,-0.287
2001-04-27,-0.312
2001-05-04,-0.339
2001-05-11,-0.365
2001-05-18,-0.387
2001-05-25,-0.406
2001-06-01,-0.421
2001-06-08,-0.435
2001-06-15,-0.446
2001-06-22,-0.457
2001-06-29,-0.47
2001-07-06,-0.482
2001-07-13,-0.495
2001-07-20,-0.505
2001-07-27,-0.513
2001-08-03,-0.514
2001-08-10,-0.507
2001-08-17,-0.491
2001-08-24,-0.466
2001-08-31,-0.438
2001-09-07,-0.408
2001-09-14,-0.383
2001-09-21,-0.367
2001-09-28,-0.366
2001-10-05,-0.373
2001-10-12,-0.388
2001-10-19,-0.406
2001-10-26,-0.423
2001-11-02,-0.434
2001-11-09,-0.439
2001-11-16,-0.436
2001-11-23,-0.426
2001-11-30,-0.413
2001-12-07,-0.403
2001-12-14,-0.398
2001-12-21,-0.4
2001-12-28,-0.413
2002-01-04,-0.431
2002-01-11,-0.454
2002-01-18,-0.479
2002-01-25,-0.502
2002-02-01,-0.521
2002-02-08,-0.534
2002-02-15,-0.542
2002-02-22,-0.545
2002-03-01,-0.544
2002-03-08,-0.539
2002-03-15,-0.534
2002-03-22,-0.531
2002-03-29,-0.532
2002-04-05,-0.538
2002-04-12,-0.549
2002-04-19,-0.566
2002-04-26,-0.584
2002-05-03,-0.603
2002-05-10,-0.618
2002-05-17,-0.628
2002-05-24,-0.631
2002-05-31,-0.627
2002-06-07,-0.615
2002-06-14,-0.598
2002-06-21,-0.576
2002-06-28,-0.551
2002-07-05,-0.526
2002-07-12,-0.501
2002-07-19,-0.477
2002-07-26,-0.455
2002-08-02,-0.439
2002-08-09,-0.424
2002-08-16,-0.413
2002-08-23,-0.402
2002-08-30,-0.39
2002-09-06,-0.377
2002-09-13,-0.364
2002-09-20,-0.354
2002-09-27,-0.348
2002-10-04,-0.348
2002-10-11,-0.354
2002-10-18,-0.368
2002-10-25,-0.386
2002-11-01,-0.407
2002-11-08,-0.43
2002-11-15,-0.451
2002-11-22,-0.467
2002-11-29,-0.48
2002-12-06,-0.489
2002-12-13,-0.496
2002-12-20,-0.502
2002-12-27,-0.508
2003-01-03,-0.514
2003-01-10,-0.522
2003-01-17,-0.529
2003-01-24,-0.536
2003-01-31,-0.542
2003-02-07,-0.547
2003-02-14,-0.552
2003-02-21,-0.556
2003-02-28,-0.561
2003-03-07,-0.567
2003-03-14,-0.575
2003-03-21,-0.587
2003-03-28,-0.604
2003-04-04,-0.625
2003-04-11,-0.649
2003-04-18,-0.674
2003-04-25,-0.699
2003-05-02,-0.72
2003-05-09,-0.738
2003-05-16,-0.751
2003-05-23,-0.758
2003-05-30,-0.762
2003-06-06,-0.761
2003-06-13,-0.757
2003-06-20,-0.75
2003-06-27,-0.74
2003-07-04,-0.727
2003-07-11,-0.713
2003-07-18,-0.696
2003-07-25,-0.679
2003-08-01,-0.663
2003-08-08,-0.649
2003-08-15,-0.64
2003-08-22,-0.635
2003-08-29,-0.634
2003-09-05,-0.636
2003-09-12,-0.64
2003-09-19,-0.645
2003-09-26,-0.649
2003-10-03,-0.652
2003-10-10,-0.655
2003-10-17,-0.657
2003-10-24,-0.658
2003-10-31,-0.66
2003-11-07,-0.661
2003-11-14,-0.663
2003-11-21,-0.665
2003-11-28,-0.667
2003-12-05,-0.669
2003-12-12,-0.673
2003-12-19,-0.677
2003-12-26,-0.683
2004-01-02,-0.69
2004-01-09,-0.698
2004-01-16,-0.708
2004-01-23,-0.718
2004-01-30,-0.728
2004-02-06,-0.737
2004-02-13,-0.747
2004-02-20,-0.755
2004-02-27,-0.76
2004-03-05,-0.761
2004-03-12,-0.759
2004-03-19,-0.753
2004-03-26,-0.743
2004-04-02,-0.73
2004-04-09,-0.714
2004-04-16,-0.696
2004-04-23,-0.678
2004-04-30,-0.661
2004-05-07,-0.647
2004-05-14,-0.635
2004-05-21,-0.627
2004-05-28,-0.621
2004-06-04,-0.618
2004-06-11,-0.617
2004-06-18,-0.616
2004-06-25,-0.618
2004-07-02,-0.62
2004-07-09,-0.623
2004-07-16,-0.626
