Date,Close
2000-01-03,0.54
2000-01-04,0.604
2000-01-05,0.575
2000-01-06,0.546
2000-01-07,0.662
2000-01-10,0.71
2000-01-11,0.517
2000-01-12,0.534
2000-01-13,0.587
2000-01-14,0.584
2000-01-18,0.475
2000-01-19,0.485
2000-01-20,0.466
2000-01-21,0.465
2000-01-24,0.523
2000-01-25,0.523
2000-01-26,0.522
2000-01-27,0.432
2000-01-28,0.492
2000-01-31,0.667
2000-02-01,0.696
2000-02-02,0.604
2000-02-03,0.652
2000-02-04,0.581
2000-02-07,0.539
2000-02-08,0.612
2000-02-09,0.541
2000-02-10,0.542
2000-02-11,0.554
2000-02-14,0.61
2000-02-15,0.563
2000-02-16,0.567
2000-02-17,0.514
2000-02-18,0.58
2000-02-22,0.758
2000-02-23,0.682
2000-02-24,0.758
2000-02-25,0.754
2000-02-28,0.753
2000-02-29,0.859
2000-03-01,0.842
2000-03-02,0.779
2000-03-03,0.864
2000-03-06,0.881
2000-03-07,0.899
2000-03-08,0.874
2000-03-09,0.968
2000-03-10,0.945
2000-03-13,1.023
2000-03-14,1.015
2000-03-15,1.034
2000-03-16,1.061
2000-03-17,1.03
2000-03-20,1.045
2000-03-21,1.071
2000-03-22,1.084
2000-03-23,1.13
2000-03-24,1.076
2000-03-27,1.084
2000-03-28,1.174
2000-03-29,1.199
2000-03-30,1.367
2000-03-31,1.492
2000-04-03,1.499
2000-04-04,1.555
2000-04-05,1.629
2000-04-06,1.528
2000-04-07,1.549
2000-04-10,1.623
2000-04-11,1.574
2000-04-12,1.616
2000-04-13,1.574
2000-04-14,1.667
2000-04-17,1.619
2000-04-18,1.579
2000-04-19,1.534
2000-04-20,1.572
2000-04-24,1.553
2000-04-25,1.494
2000-04-26,1.511
2000-04-27,1.51
2000-04-28,1.591
2000-05-01,1.686
2000-05-02,1.624
2000-05-03,1.65
2000-05-04,1.591
2000-05-05,1.656
2000-05-08,1.662
2000-05-09,1.682
2000-05-10,1.758
2000-05-11,1.68
2000-05-12,1.736
2000-05-15,1.759
2000-05-16,1.787
2000-05-17,1.762
2000-05-18,1.786
2000-05-19,1.865
2000-05-22,1.923
2000-05-23,2.012
2000-05-24,2.124
2000-05-25,2.215
2000-05-26,2.257
2000-05-30,2.203
2000-05-31,2.324
2000-06-01,2.285
2000-06-02,2.419
2000-06-05,2.449
2000-06-06,2.363
2000-06-07,2.318
2000-06-08,2.177
2000-06-09,2.216
2000-06-12,2.218
2000-06-13,2.24
2000-06-14,2.204
2000-06-15,2.193
2000-06-16,2.247
2000-06-19,2.192
2000-06-20,2.182
2000-06-21,2.112
2000-06-22,2.079
2000-06-23,2.043
2000-06-26,2.099
2000-06-27,2.128
2000-06-28,2.092
2000-06-29,2.173
2000-06-30,2.265
2000-07-03,2.202
2000-07-05,2.196
2000-07-06,2.116
2000-07-07,2.125
2000-07-10,2.036
2000-07-11,2.053
2000-07-12,2.048
2000-07-13,2.04
2000-07-14,2.004
2000-07-17,2.003
2000-07-18,1.993
2000-07-19,1.963
2000-07-20,2.005
2000-07-21,1.972
2000-07-24,1.93
2000-07-25,1.995
2000-07-26,1.966
2000-07-27,2.028
2000-07-28,2.035
2000-07-31,2.146
2000-08-01,2.169
2000-08-02,2.176
2000-08-03,2.19
2000-08-04,2.196
2000-08-07,2.214
2000-08-08,2.137
2000-08-09,2.159
2000-08-10,2.065
2000-08-11,2.121
2000-08-14,2.115
2000-08-15,2.072
2000-08-16,2.065
2000-08-17,2.073
2000-08-18,2.084
2000-08-21,2.038
2000-08-22,2.114
2000-08-23,2.122
2000-08-24,2.14
2000-08-25,2.087
2000-08-28,2.103
2000-08-29,2.026
2000-08-30,1.992
2000-08-31,2.047
2000-09-01,2.118
2000-09-05,2.119
2000-09-06,2.16
2000-09-07,2.159
2000-09-08,1.993
2000-09-11,1.987
2000-09-12,1.953
2000-09-13,1.989
2000-09-14,2.039
2000-09-15,1.987
2000-09-18,1.976
2000-09-19,2.001
2000-09-20,1.979
2000-09-21,2.013
2000-09-22,2.085
2000-09-25,2.003
2000-09-26,2.073
2000-09-27,2.002
2000-09-28,2.096
2000-09-29,2.112
2000-10-02,2.125
2000-10-03,2.102
2000-10-04,2.113
2000-10-05,2.095
2000-10-06,2.132
2000-10-09,2.197
2000-10-10,2.212
2000-10-11,2.344
2000-10-12,2.422
2000-10-13,2.456
2000-10-16,2.401
2000-10-17,2.491
2000-10-18,2.669
2000-10-19,2.59
2000-10-20,2.576
2000-10-23,2.599
2000-10-24,2.566
2000-10-25,2.496
2000-10-26,2.542
2000-10-27,2.544
2000-10-30,2.459
2000-10-31,2.576
2000-11-01,2.567
2000-11-02,2.577
2000-11-03,2.556
2000-11-06,2.515
2000-11-07,2.506
2000-11-08,2.483
2000-11-09,2.505
2000-11-10,2.511
2000-11-13,2.533
2000-11-14,2.522
2000-11-15,2.528
2000-11-16,2.539
2000-11-17,2.573
2000-11-20,2.635
2000-11-21,2.684
2000-11-22,2.761
2000-11-24,2.765
2000-11-27,2.776
2000-11-28,2.793
2000-11-29,2.86
2000-11-30,3.052
2000-12-01,3.015
2000-12-04,3.112
2000-12-05,3.102
2000-12-06,3.041
2000-12-07,2.998
2000-12-08,2.969
2000-12-11,2.916
2000-12-12,2.874
2000-12-13,2.849
2000-12-14,2.81
2000-12-15,2.777
2000-12-18,2.776
2000-12-19,2.715
2000-12-20,2.768
2000-12-21,2.724
2000-12-22,2.753
2000-12-26,2.761
2000-12-27,2.775
2000-12-28,2.764
2000-12-29,2.78
2001-01-02,2.982
2001-01-03,2.816
2001-01-04,2.756
2001-01-05,2.756
2001-01-08,2.677
2001-01-09,2.561
2001-01-10,2.511
2001-01-11,2.435
2001-01-12,2.331
2001-01-16,2.315
2001-01-17,2.225
2001-01-18,2.217
2001-01-19,2.185
2001-01-22,2.123
2001-01-23,2.074
2001-01-24,2.064
2001-01-25,2.015
2001-01-26,2.029
2001-01-29,2.019
2001-01-30,1.97
2001-01-31,1.961
2001-02-01,1.929
2001-02-02,1.913
2001-02-05,1.896
2001-02-06,1.856
2001-02-07,1.862
2001-02-08,1.848
2001-02-09,1.864
2001-02-12,1.874
2001-02-13,1.887
2001-02-14,1.87
2001-02-15,1.823
2001-02-16,1.903
2001-02-20,1.925
2001-02-21,1.974
2001-02-22,1.987
2001-02-23,2.033
2001-02-26,2.034
2001-02-27,2.044
2001-02-28,2.099
2001-03-01,2.034
2001-03-02,2.057
2001-03-05,2.042
2001-03-06,2.038
2001-03-07,2.024
2001-03-08,2.014
2001-03-09,1.998
2001-03-12,2.036
2001-03-13,2.039
2001-03-14,2.167
2001-03-15,2.19
2001-03-16,2.224
2001-03-19,2.238
2001-03-20,2.257
2001-03-21,2.346
2001-03-22,2.486
2001-03-23,2.42
2001-03-26,2.391
2001-03-27,2.312
2001-03-28,2.308
2001-03-29,2.308
2001-03-30,2.281
2001-04-02,2.295
2001-04-03,2.416
2001-04-04,2.534
2001-04-05,2.518
2001-04-06,2.509
2001-04-09,2.576
2001-04-10,2.498
2001-04-11,2.405
2001-04-12,2.307
2001-04-16,2.273
2001-04-17,2.283
2001-04-18,2.178
2001-04-19,2.166
2001-04-20,2.258
2001-04-23,2.318
2001-04-24,2.277
2001-04-25,2.175
2001-04-26,2.216
2001-04-27,2.134
2001-04-30,1.843
2001-05-01,1.768
2001-05-02,1.77
2001-05-03,1.809
2001-05-04,1.83
2001-05-07,1.817
2001-05-08,1.781
2001-05-09,1.789
2001-05-10,1.794
2001-05-11,1.692
2001-05-14,1.667
2001-05-15,1.627
2001-05-16,1.68
2001-05-17,1.664
2001-05-18,1.652
2001-05-21,1.651
2001-05-22,1.637
2001-05-23,1.604
2001-05-24,1.569
2001-05-25,1.552
2001-05-29,1.535
2001-05-30,1.545
2001-05-31,1.607
2001-06-01,1.644
2001-06-04,1.653
2001-06-05,1.676
2001-06-06,1.637
2001-06-07,1.606
2001-06-08,1.586
2001-06-11,1.623
2001-06-12,1.639
2001-06-13,1.65
2001-06-14,1.761
2001-06-15,1.785
2001-06-18,1.871
2001-06-19,1.948
2001-06-20,2.046
2001-06-21,2.085
2001-06-22,2.112
2001-06-25,2.099
2001-06-26,2.084
2001-06-27,2.097
2001-06-28,2.056
2001-06-29,1.971
2001-07-02,1.949
2001-07-03,1.85
2001-07-05,1.876
2001-07-06,1.905
2001-07-09,1.887
2001-07-10,1.924
2001-07-11,1.986
2001-07-12,1.991
2001-07-13,2.003
2001-07-16,2.003
2001-07-17,2.081
2001-07-18,2.167
2001-07-19,2.134
2001-07-20,2.137
2001-07-23,2.112
2001-07-24,2.061
2001-07-25,2.023
2001-07-26,2.0
2001-07-27,1.994
2001-07-30,1.954
2001-07-31,1.974
2001-08-01,1.896
2001-08-02,1.849
2001-08-03,1.838
2001-08-06,1.851
2001-08-07,1.844
2001-08-08,1.835
2001-08-09,1.892
2001-08-10,1.906
2001-08-13,1.915
2001-08-14,1.9
2001-08-15,1.904
2001-08-16,1.926
2001-08-17,1.987
2001-08-20,2.006
2001-08-21,2.009
2001-08-22,1.991
2001-08-23,2.013
2001-08-24,2.015
2001-08-27,1.991
2001-08-28,2.01
2001-08-29,1.988
2001-08-30,1.989
2001-08-31,1.954
2001-09-04,1.895
2001-09-05,1.945
2001-09-06,2.024
2001-09-07,2.135
2001-09-10,2.116
2001-09-17,2.868
2001-09-18,2.923
2001-09-19,2.866
2001-09-20,3.026
2001-09-21,3.141
2001-09-24,3.228
2001-09-25,3.103
2001-09-26,3.052
2001-09-27,3.115
2001-09-28,3.1
2001-10-01,3.091
2001-10-02,3.106
2001-10-03,3.112
2001-10-04,3.02
2001-10-05,3.025
2001-10-08,3.003
2001-10-09,2.96
2001-10-10,2.909
2001-10-11,2.811
2001-10-12,2.826
2001-10-15,2.789
2001-10-16,2.789
2001-10-17,2.718
2001-10-18,2.765
2001-10-19,2.748
2001-10-22,2.765
2001-10-23,2.709
2001-10-24,2.728
2001-10-25,2.747
2001-10-26,2.735
2001-10-29,2.77
2001-10-30,2.822
2001-10-31,2.797
2001-11-01,2.805
2001-11-02,2.766
2001-11-05,2.763
2001-11-06,2.714
2001-11-07,2.719
2001-11-08,2.642
2001-11-09,2.585
2001-11-12,2.601
2001-11-13,2.518
2001-11-14,2.412
2001-11-15,2.222
2001-11-16,2.206
2001-11-19,2.122
2001-11-20,2.081
2001-11-21,2.023
2001-11-23,1.969
2001-11-26,1.972
2001-11-27,1.807
2001-11-28,1.905
2001-11-29,1.971
2001-11-30,2.15
2001-12-03,2.157
2001-12-04,2.177
2001-12-05,2.006
2001-12-06,1.895
2001-12-07,1.805
2001-12-10,1.901
2001-12-11,1.914
2001-12-12,1.977
2001-12-13,1.935
2001-12-14,1.908
2001-12-17,1.752
2001-12-18,1.945
2001-12-19,1.936
2001-12-20,1.928
2001-12-21,1.89
2001-12-24,1.888
2001-12-26,1.878
2001-12-27,1.859
2001-12-28,1.815
2001-12-31,1.639
2002-01-02,1.575
2002-01-03,1.488
2002-01-04,1.439
2002-01-07,1.51
2002-01-08,1.469
2002-01-09,1.472
2002-01-10,1.479
2002-01-11,1.52
2002-01-14,1.563
2002-01-15,1.551
2002-01-16,1.568
2002-01-17,1.597
2002-01-18,1.578
2002-01-22,1.572
2002-01-23,1.61
