Date,Close
2000-01-03,2.14
2000-01-04,2.421
2000-01-05,2.297
2000-01-06,2.292
2000-01-07,2.005
2000-01-10,1.955
2000-01-11,1.89
2000-01-12,1.914
2000-01-13,1.891
2000-01-14,1.647
2000-01-18,1.7
2000-01-19,1.865
2000-01-20,1.641
2000-01-21,1.498
2000-01-24,1.705
2000-01-25,1.444
2000-01-26,1.456
2000-01-27,1.296
2000-01-28,1.594
2000-01-31,1.586
2000-02-01,1.57
2000-02-02,1.56
2000-02-03,1.796
2000-02-04,1.436
2000-02-07,1.444
2000-02-08,1.236
2000-02-09,1.488
2000-02-10,1.326
2000-02-11,1.408
2000-02-14,1.499
2000-02-15,1.246
2000-02-16,1.49
2000-02-17,1.426
2000-02-18,1.723
2000-02-22,1.868
2000-02-23,1.566
2000-02-24,1.654
2000-02-25,1.734
2000-02-28,1.657
2000-02-29,1.597
2000-03-01,1.732
2000-03-02,1.541
2000-03-03,1.284
2000-03-06,1.512
2000-03-07,1.909
2000-03-08,2.019
2000-03-09,1.978
2000-03-10,1.83
2000-03-13,2.153
2000-03-14,2.392
2000-03-15,2.191
2000-03-16,1.981
2000-03-17,1.902
2000-03-20,1.974
2000-03-21,1.625
2000-03-22,1.623
2000-03-23,1.695
2000-03-24,1.888
2000-03-27,2.079
2000-03-28,2.212
2000-03-29,2.224
2000-03-30,2.609
2000-03-31,2.971
2000-04-03,2.848
2000-04-04,3.008
2000-04-05,3.158
2000-04-06,2.743
2000-04-07,2.373
2000-04-10,2.654
2000-04-11,2.669
2000-04-12,3.022
2000-04-13,3.042
2000-04-14,4.116
2000-04-17,3.491
2000-04-18,3.003
2000-04-19,3.03
2000-04-20,2.877
2000-04-24,3.01
2000-04-25,2.652
2000-04-26,2.884
2000-04-27,2.854
2000-04-28,2.934
2000-05-01,2.956
2000-05-02,3.207
2000-05-03,3.524
2000-05-04,3.662
2000-05-05,3.53
2000-05-08,3.547
2000-05-09,3.459
2000-05-10,3.508
2000-05-11,3.493
2000-05-12,3.411
2000-05-15,3.323
2000-05-16,2.952
2000-05-17,3.393
2000-05-18,3.703
2000-05-19,4.086
2000-05-22,4.148
2000-05-23,4.377
2000-05-24,4.205
2000-05-25,4.597
2000-05-26,4.754
2000-05-30,4.715
2000-05-31,5.007
2000-06-01,4.564
2000-06-02,4.352
2000-06-05,4.235
2000-06-06,4.222
2000-06-07,4.414
2000-06-08,4.3
2000-06-09,4.185
2000-06-12,4.281
2000-06-13,4.103
2000-06-14,4.108
2000-06-15,3.977
2000-06-16,4.146
2000-06-19,4.051
2000-06-20,4.192
2000-06-21,4.053
2000-06-22,4.241
2000-06-23,4.255
2000-06-26,4.169
2000-06-27,4.137
2000-06-28,3.956
2000-06-29,4.177
2000-06-30,4.302
2000-07-03,4.1
2000-07-05,3.946
2000-07-06,3.904
2000-07-07,3.564
2000-07-10,3.551
2000-07-11,3.457
2000-07-12,3.153
2000-07-13,3.107
2000-07-14,3.098
2000-07-17,3.165
2000-07-18,3.075
2000-07-19,2.973
2000-07-20,2.877
2000-07-21,2.918
2000-07-24,2.913
2000-07-25,2.807
2000-07-26,2.849
2000-07-27,2.927
2000-07-28,3.165
2000-07-31,3.23
2000-08-01,3.083
2000-08-02,3.097
2000-08-03,3.106
2000-08-04,3.03
2000-08-07,2.904
2000-08-08,2.706
2000-08-09,2.799
2000-08-10,2.592
2000-08-11,2.545
2000-08-14,2.411
2000-08-15,2.412
2000-08-16,2.491
2000-08-17,2.545
2000-08-18,2.469
2000-08-21,2.36
2000-08-22,2.498
2000-08-23,2.482
2000-08-24,2.487
2000-08-25,2.529
2000-08-28,2.443
2000-08-29,2.429
2000-08-30,2.534
2000-08-31,2.428
2000-09-01,2.507
2000-09-05,2.652
2000-09-06,2.856
2000-09-07,2.95
2000-09-08,2.817
2000-09-11,2.727
2000-09-12,2.721
2000-09-13,2.731
2000-09-14,2.704
2000-09-15,2.855
2000-09-18,2.854
2000-09-19,2.748
2000-09-20,2.832
2000-09-21,2.858
2000-09-22,2.989
2000-09-25,2.992
2000-09-26,3.069
2000-09-27,2.971
2000-09-28,2.979
2000-09-29,3.229
2000-10-02,3.241
2000-10-03,3.215
2000-10-04,3.156
2000-10-05,3.125
2000-10-06,3.362
2000-10-09,3.402
2000-10-10,3.755
2000-10-11,3.983
2000-10-12,4.592
2000-10-13,4.355
2000-10-16,4.103
2000-10-17,4.158
2000-10-18,4.483
2000-10-19,3.944
2000-10-20,3.864
2000-10-23,3.852
2000-10-24,3.778
2000-10-25,3.781
2000-10-26,3.966
2000-10-27,3.827
2000-10-30,3.645
2000-10-31,3.532
