Date,Close
2007-03-30,50.14
2007-04-02,50.25
2007-04-03,50.37
2007-04-04,50.23
2007-04-05,50.3
2007-04-09,50.34
2007-04-10,50.38
2007-04-11,50.29
2007-04-12,50.26
2007-04-13,50.25
2007-04-16,50.23
2007-04-17,50.28
2007-04-18,50.27
2007-04-19,50.16
2007-04-20,50.28
2007-04-23,50.24
2007-04-24,50.27
2007-04-25,50.24
2007-04-26,50.25
2007-04-27,50.31
2007-04-30,50.32
2007-05-01,50.01
2007-05-02,50.14
2007-05-03,50.18
2007-05-04,50.17
2007-05-07,50.2
2007-05-08,50.27
2007-05-09,50.24
2007-05-10,50.18
2007-05-11,50.37
2007-05-14,50.48
2007-05-15,50.46
2007-05-16,50.33
2007-05-17,50.24
2007-05-18,50.19
2007-05-21,50.23
2007-05-22,50.3
2007-05-23,50.3
2007-05-24,50.22
2007-05-25,50.13
2007-05-29,50.14
2007-05-30,50.27
2007-05-31,50.34
2007-06-01,49.9
2007-06-04,49.84
2007-06-05,49.69
2007-06-06,49.55
2007-06-07,49.11
2007-06-08,49.19
2007-06-11,49.14
2007-06-12,48.78
2007-06-13,49.01
2007-06-14,49.19
2007-06-15,49.67
2007-06-18,49.71
2007-06-19,49.75
2007-06-20,49.52
2007-06-21,49.35
2007-06-22,49.42
2007-06-25,49.34
2007-06-26,49.39
2007-06-27,49.37
2007-06-28,49.52
2007-06-29,49.62
2007-07-02,49.66
2007-07-03,49.9
2007-07-05,49.83
2007-07-06,49.73
2007-07-09,49.77
2007-07-10,49.56
2007-07-11,49.48
2007-07-12,49.6
2007-07-13,49.59
2007-07-16,49.54
2007-07-17,49.51
2007-07-18,49.4
2007-07-19,49.36
2007-07-20,49.14
2007-07-23,49.09
2007-07-24,48.51
2007-07-25,48.22
2007-07-26,47.68
2007-07-27,47.92
2007-07-30,47.8
2007-07-31,48.1
2007-08-01,47.42
2007-08-02,47.57
2007-08-03,47.39
2007-08-06,46.86
2007-08-07,47.04
2007-08-08,47.5
2007-08-09,47.24
2007-08-10,46.75
2007-08-13,46.65
2007-08-14,46.21
2007-08-15,45.49
2007-08-16,44.98
2007-08-17,46.17
2007-08-20,46.38
2007-08-21,46.78
2007-08-22,46.83
2007-08-23,47.34
2007-08-24,47.42
2007-08-27,47.31
2007-08-28,47.01
2007-08-29,47.16
2007-08-30,47.06
2007-08-31,47.45
2007-09-04,47.21
2007-09-05,46.99
2007-09-06,46.99
2007-09-07,46.88
2007-09-10,46.85
2007-09-11,46.72
2007-09-12,46.57
2007-09-13,46.84
2007-09-14,47.08
2007-09-17,47.16
2007-09-18,47.62
2007-09-19,47.54
2007-09-20,47.16
2007-09-21,47.28
2007-09-24,47.41
2007-09-25,47.05
2007-09-26,47.54
2007-09-27,47.31
2007-09-28,47.11
2007-10-01,47.08
2007-10-02,46.95
2007-10-03,47.53
2007-10-04,47.35
2007-10-05,47.55
2007-10-08,47.47
2007-10-09,47.4
2007-10-10,47.71
2007-10-11,47.88
2007-10-12,48.12
2007-10-15,47.95
2007-10-16,47.76
2007-10-17,47.53
2007-10-18,47.56
2007-10-19,47.21
2007-10-22,46.96
2007-10-23,47.1
2007-10-24,47.12
2007-10-25,46.91
2007-10-26,47.54
2007-10-29,47.63
2007-10-30,47.45
2007-10-31,47.76
2007-11-01,46.68
2007-11-02,46.46
2007-11-05,45.87
2007-11-06,45.88
2007-11-07,44.69
2007-11-08,44.41
2007-11-09,44.06
2007-11-12,43.12
2007-11-13,44.02
2007-11-14,44.31
2007-11-15,43.51
2007-11-16,43.2
2007-11-19,42.35
2007-11-20,41.75
2007-11-21,41.6
2007-11-23,42.17
2007-11-26,41.58
2007-11-27,41.8
2007-11-28,42.32
2007-11-29,43.0
2007-11-30,43.76
2007-12-03,43.55
2007-12-04,43.18
2007-12-05,43.54
2007-12-06,44.05
2007-12-07,44.4
2007-12-10,44.1
2007-12-11,43.99
2007-12-12,43.78
2007-12-13,43.19
2007-12-14,43.12
2007-12-17,41.6
2007-12-18,41.79
2007-12-19,41.54
2007-12-20,41.36
2007-12-21,41.74
2007-12-24,42.03
2007-12-26,42.02
2007-12-27,41.12
2007-12-28,45.0
2007-12-31,41.5
2008-01-02,42.7
2008-01-03,43.05
2008-01-04,42.7
2008-01-07,42.78
2008-01-08,42.75
2008-01-09,42.81
2008-01-10,43.88
2008-01-11,44.18
2008-01-14,44.5
2008-01-15,44.45
2008-01-16,44.36
2008-01-17,43.54
2008-01-18,43.71
2008-01-22,43.62
2008-01-23,43.95
2008-01-24,44.4
2008-01-25,44.76
2008-01-28,44.8
2008-01-29,45.26
