Date,Close
1999-04-01,53.719
1999-05-01,52.031
1999-06-01,57.625
1999-07-01,56.594
1999-08-01,59.688
1999-09-01,60.188
1999-10-01,65.75
1999-11-01,73.5
1999-12-01,91.375
2000-01-01,89.688
2000-02-01,106.75
2000-03-01,109.5
2000-04-01,94.75
2000-05-01,83.125
2000-06-01,93.438
2000-07-01,89.438
2000-08-01,101.625
2000-09-01,88.75
2000-10-01,81.703
2000-11-01,62.984
2000-12-01,58.375
2001-01-01,64.3
2001-02-01,47.45
2001-03-01,39.15
2001-04-01,46.15
2001-05-01,44.73
2001-06-01,45.7
2001-07-01,41.76
2001-08-01,36.63
2001-09-01,28.98
2001-10-01,33.9
2001-11-01,39.65
2001-12-01,38.91
2002-01-01,38.51
2002-02-01,33.78
2002-03-01,36.06
2002-04-01,31.73
2002-05-01,30.04
2002-06-01,26.1
2002-07-01,23.85
2002-08-01,23.49
2002-09-01,20.72
2002-10-01,24.55
2002-11-01,27.72
2002-12-01,24.37
2003-01-01,24.44
2003-02-01,25.16
2003-03-01,25.25
2003-04-01,27.45
2003-05-01,29.79
2003-06-01,29.95
2003-07-01,31.8
2003-08-01,33.39
2003-09-01,32.42
2003-10-01,35.18
2003-11-01,35.38
2003-12-01,36.46
2004-01-01,37.07
2004-02-01,36.57
2004-03-01,35.84
2004-04-01,34.77
2004-05-01,36.55
2004-06-01,37.74
2004-07-01,34.89
2004-08-01,34.02
2004-09-01,35.14
2004-10-01,36.9
2004-11-01,39.12
2004-12-01,39.92
2005-01-01,37.4
2005-02-01,37.22
2005-03-01,36.57
2005-04-01,34.98
2005-05-01,38.08
2005-06-01,36.78
2005-07-01,39.58
2005-08-01,38.98
2005-09-01,39.46
2005-10-01,38.87
2005-11-01,41.24
2005-12-01,40.41
2006-01-01,42.0
2006-02-01,41.1
2006-03-01,41.93
2006-04-01,41.85
2006-05-01,38.82
2006-06-01,38.77
2006-07-01,37.1
2006-08-01,38.87
2006-09-01,40.65
2006-10-01,42.58
2006-11-01,44.04
2006-12-01,43.16
2007-01-01,44.07
2007-02-01,43.33
2007-03-01,43.53
2007-04-01,45.96
2007-05-01,47.41
2007-06-01,47.6
2007-07-01,47.53
2007-08-01,48.87
2007-09-01,51.41
2007-10-01,55.03
2007-11-01,51.31
2007-12-01,51.22
2008-01-01,45.13
2008-02-01,42.95
2008-03-01,43.72
2008-04-01,47.21
2008-05-01,50.01
2008-06-01,45.17
2008-07-01,45.46
2008-08-01,46.12
2008-09-01,38.91
2008-10-01,32.89
2008-11-01,29.12
2008-12-01,29.74
2009-01-01,29.06
2009-02-01,27.53
2009-03-01,30.32
2009-04-01,34.28
2009-05-01,35.38
2009-06-01,36.38
2009-07-01,39.45
2009-08-01,40.03
2009-09-01,42.25
2009-10-01,40.96
2009-11-01,43.56
2009-12-01,45.75
2010-01-01,42.79
2010-02-01,44.76
2010-03-01,48.16
2010-04-01,49.24
2010-05-01,45.6
2010-06-01,42.71
2010-07-01,45.81
2010-08-01,43.46
2010-09-01,49.07
2010-10-01,52.18
2010-11-01,52.09
2010-12-01,54.46
2011-01-01,56.0
2011-02-01,57.77
2011-03-01,57.43
2011-04-01,59.08
2011-05-01,58.36
2011-06-01,57.05
