Date,Close
2003-01-02,82.0
2003-01-03,82.01
2003-01-06,81.96
2003-01-07,82.02
2003-01-08,82.09
2003-01-09,81.94
2003-01-10,82.05
2003-01-13,82.03
2003-01-14,82.06
2003-01-15,82.09
2003-01-16,82.14
2003-01-17,82.12
2003-01-21,82.22
2003-01-22,82.28
2003-01-23,82.23
2003-01-24,82.22
2003-01-27,82.22
2003-01-28,82.24
2003-01-29,82.17
2003-01-30,82.27
2003-01-31,82.25
2003-02-03,82.08
2003-02-04,82.17
2003-02-05,82.14
2003-02-06,82.18
2003-02-07,82.25
2003-02-10,82.19
2003-02-11,82.22
2003-02-12,82.29
2003-02-13,82.36
2003-02-14,82.29
2003-02-18,82.26
2003-02-19,82.3
2003-02-20,82.35
2003-02-21,82.28
2003-02-24,82.32
2003-02-25,82.37
2003-02-26,82.41
2003-02-27,82.41
2003-02-28,82.45
2003-03-03,82.37
2003-03-04,82.36
2003-03-05,82.43
2003-03-06,82.46
2003-03-07,82.54
2003-03-10,82.62
2003-03-11,82.55
2003-03-12,82.49
2003-03-13,82.24
2003-03-14,82.32
2003-03-17,82.22
2003-03-18,82.15
2003-03-19,82.13
2003-03-20,82.23
2003-03-21,82.02
2003-03-24,82.2
2003-03-25,82.2
2003-03-26,82.3
2003-03-27,82.32
2003-03-28,82.43
2003-03-31,82.49
2003-04-01,82.36
2003-04-02,82.27
2003-04-03,82.32
2003-04-04,82.3
2003-04-07,82.25
2003-04-08,82.33
2003-04-09,82.38
2003-04-10,82.27
2003-04-11,82.23
2003-04-14,82.16
2003-04-15,82.22
2003-04-16,82.23
2003-04-17,82.16
2003-04-21,82.21
2003-04-22,82.2
2003-04-23,82.26
2003-04-24,82.34
2003-04-25,82.42
2003-04-28,82.4
2003-04-29,82.34
2003-04-30,82.51
2003-05-01,82.38
2003-05-02,82.29
2003-05-05,82.35
2003-05-06,82.47
2003-05-07,82.49
2003-05-08,82.45
2003-05-09,82.43
2003-05-12,82.49
2003-05-13,82.47
2003-05-14,82.52
2003-05-15,82.49
2003-05-16,82.58
2003-05-19,82.6
2003-05-20,82.71
2003-05-21,82.6
2003-05-22,82.63
2003-05-23,82.66
2003-05-27,82.63
2003-05-28,82.68
2003-05-29,82.71
2003-05-30,82.68
2003-06-02,82.53
2003-06-03,82.69
2003-06-04,82.76
2003-06-05,82.71
2003-06-06,82.69
2003-06-09,82.8
2003-06-10,82.89
2003-06-11,82.83
2003-06-12,82.88
2003-06-13,82.95
2003-06-16,82.85
2003-06-17,82.73
2003-06-18,82.74
2003-06-19,82.82
2003-06-20,82.8
2003-06-23,82.88
2003-06-24,82.94
2003-06-25,82.77
2003-06-26,82.62
2003-06-27,82.64
2003-06-30,82.71
2003-07-01,82.61
2003-07-02,82.65
2003-07-03,82.56
2003-07-07,82.54
2003-07-08,82.51
2003-07-09,82.53
2003-07-10,82.6
2003-07-11,82.63
2003-07-14,82.56
2003-07-15,82.46
2003-07-16,82.47
2003-07-17,82.42
2003-07-18,82.41
2003-07-21,82.27
2003-07-22,82.35
2003-07-23,82.39
2003-07-24,82.38
2003-07-25,82.42
2003-07-28,82.31
2003-07-29,82.24
2003-07-30,82.28
2003-07-31,82.19
2003-08-01,82.0
2003-08-04,82.13
2003-08-05,81.98
2003-08-06,82.06
2003-08-07,82.15
2003-08-08,82.17
2003-08-11,82.06
2003-08-12,82.2
2003-08-13,82.04
2003-08-14,82.02
2003-08-15,82.08
2003-08-18,82.07
2003-08-19,82.17
2003-08-20,82.11
2003-08-21,81.99
2003-08-22,81.97
2003-08-25,81.93
2003-08-26,82.02
2003-08-27,81.94
2003-08-28,82.06
2003-08-29,82.05
2003-09-02,81.84
2003-09-03,81.9
2003-09-04,82.01
2003-09-05,82.29
2003-09-08,82.19
2003-09-09,82.33
2003-09-10,82.38
2003-09-11,82.32
2003-09-12,82.39
2003-09-15,82.47
2003-09-16,82.48
2003-09-17,82.47
2003-09-18,82.39
2003-09-19,82.39
2003-09-22,82.42
2003-09-23,82.44
2003-09-24,82.49
2003-09-25,82.5
2003-09-26,82.6
2003-09-29,82.56
2003-09-30,82.73
2003-10-01,82.65
2003-10-02,82.65
2003-10-03,82.44
2003-10-06,82.5
2003-10-07,82.42
2003-10-08,82.42
2003-10-09,82.41
2003-10-10,82.46
2003-10-13,82.47
2003-10-14,82.39
2003-10-15,82.29
2003-10-16,82.1
2003-10-17,82.2
2003-10-20,82.21
2003-10-21,82.23
2003-10-22,82.32
2003-10-23,82.3
2003-10-24,82.4
2003-10-27,82.31
2003-10-28,82.45
2003-10-29,82.36
2003-10-30,82.29
2003-10-31,82.3
2003-11-03,82.14
2003-11-04,82.2
2003-11-05,82.12
2003-11-06,82.03
2003-11-07,81.96
2003-11-10,81.98
2003-11-11,81.98
2003-11-12,82.03
2003-11-13,82.21
2003-11-14,82.31
2003-11-17,82.36
2003-11-18,82.37
2003-11-19,82.22
2003-11-20,82.38
2003-11-21,82.35
2003-11-24,82.24
2003-11-25,82.33
2003-11-26,82.24
2003-11-28,82.14
2003-12-01,81.92
2003-12-02,82.01
2003-12-03,81.94
2003-12-04,82.02
2003-12-05,82.28
2003-12-08,82.19
2003-12-09,82.14
2003-12-10,82.24
2003-12-11,82.41
2003-12-12,82.39
2003-12-15,82.37
2003-12-16,82.42
2003-12-17,82.43
2003-12-18,82.45
2003-12-19,82.47
2003-12-22,82.42
2003-12-23,82.29
2003-12-24,82.48
2003-12-26,82.55
2003-12-29,82.44
2003-12-30,82.48
