Date,Close
2006-03-06,71.73
2006-03-15,15.71
2006-03-16,27.94
2006-03-17,28.6
2006-03-20,37.93
2006-03-21,37.35
2006-04-11,69.55
2006-04-24,63.42
2006-04-25,61.33
2006-05-01,61.96
2006-05-22,91.76
2006-05-23,88.66
2006-05-24,88.63
2006-05-25,82.64
2006-05-26,72.5
2006-05-30,82.14
2006-05-31,77.44
2006-06-01,74.08
2006-06-02,70.27
2006-06-05,77.38
2006-06-06,78.66
2006-06-07,73.86
2006-06-08,78.12
2006-06-09,79.87
2006-06-12,83.52
2006-06-13,93.2
2006-06-14,102.11
2006-06-15,99.13
2006-06-16,106.93
2006-06-19,102.56
2006-06-20,94.76
2006-06-21,92.4
2006-06-22,91.85
2006-06-23,86.81
2006-06-26,90.71
2006-06-27,95.12
2006-06-28,96.44
2006-06-29,96.63
2006-06-30,92.1
2006-07-03,89.13
2006-07-05,91.98
2006-07-06,92.88
2006-07-07,91.46
2006-07-10,93.52
2006-07-11,91.99
2006-07-24,99.61
2006-07-25,94.97
2006-07-26,89.23
2006-07-27,95.29
2006-07-28,93.16
2006-07-31,92.79
2006-08-01,92.67
2006-08-02,91.34
2006-08-03,89.24
2006-08-04,90.68
2006-08-07,89.58
2006-08-08,88.09
2006-08-16,57.01
2006-08-21,80.68
2006-08-22,78.75
2006-08-23,81.15
2006-08-24,79.7
2006-08-25,81.94
2006-08-28,79.47
2006-08-29,81.8
2006-08-30,80.77
2006-08-31,79.84
2006-09-01,77.19
2006-09-05,80.18
2006-09-06,82.96
2006-09-07,86.18
2006-09-08,83.7
2006-09-11,85.78
2006-09-12,80.99
2006-09-13,81.55
2006-09-14,81.93
2006-09-15,59.52
2006-09-18,80.97
2006-09-19,81.77
2006-09-20,80.83
2006-09-21,85.95
2006-09-22,85.74
2006-09-25,82.01
2006-09-26,81.59
2006-09-27,81.08
2006-09-28,84.74
2006-09-29,84.31
2006-10-02,85.46
2006-10-03,86.57
2006-10-04,82.5
2006-10-05,87.5
2006-10-06,85.63
2006-10-09,84.76
2006-10-10,83.62
2006-10-11,88.4
2006-10-12,86.87
2006-10-13,86.61
2006-10-16,82.29
2006-10-17,66.99
2006-10-18,79.1
2006-10-19,77.71
2006-10-20,78.6
2006-10-23,84.73
2006-10-24,87.39
2006-10-25,85.9
2006-10-26,81.6
2006-10-27,82.71
2006-10-30,80.16
2006-10-31,76.4
2006-11-01,78.89
2006-11-02,77.08
2006-11-03,75.19
2006-11-06,70.46
2006-11-07,67.5
2006-11-08,62.08
2006-11-09,60.42
2006-11-10,61.06
2006-11-13,36.14
2006-11-14,60.77
2006-11-15,58.58
2006-11-16,62.48
2006-11-17,64.3
2006-11-20,65.98
2006-11-21,65.3
2006-11-22,63.62
2006-11-24,66.48
2006-11-27,71.6
2006-11-28,66.56
2006-11-29,60.3
2006-11-30,61.39
2006-12-01,62.33
2006-12-04,62.11
2006-12-05,65.87
2006-12-06,66.49
2006-12-07,68.65
2006-12-08,71.34
2006-12-11,72.84
2006-12-12,74.78
2006-12-13,79.06
2006-12-14,82.57
2006-12-15,84.63
2006-12-18,84.26
2006-12-19,78.91
2006-12-20,84.68
2006-12-21,83.94
2006-12-22,83.41
2006-12-26,85.28
2006-12-27,83.01
2006-12-28,88.72
2006-12-29,88.16
2007-01-03,87.63
2007-01-04,88.19
2007-01-05,90.17
2007-01-08,92.04
2007-01-09,92.76
2007-01-10,93.78
2007-01-11,85.97
2007-01-12,85.18
2007-01-16,85.3
2007-01-17,84.93
2007-01-18,83.66
2007-01-19,82.49
2007-01-22,84.43
2007-01-23,81.48
2007-01-24,77.51
2007-01-25,80.45
2007-01-26,81.36
2007-01-29,81.68
2007-01-30,78.9
2007-01-31,77.28
2007-02-01,73.5
2007-02-02,72.44
2007-02-05,70.29
