Date,Close
1999-01-01,26.797
1999-02-01,26.516
1999-03-01,26.438
1999-04-01,25.516
1999-05-01,25.25
1999-06-01,25.594
1999-07-01,24.641
1999-08-01,25.062
1999-09-01,22.75
1999-10-01,24.828
1999-11-01,24.906
1999-12-01,23.031
2000-01-01,23.234
2000-02-01,20.516
2000-03-01,21.219
2000-04-01,22.344
2000-05-01,23.938
2000-06-01,25.234
2000-07-01,24.312
2000-08-01,24.016
2000-09-01,24.984
2000-10-01,26.719
2000-11-01,27.641
2000-12-01,28.562
2001-01-01,26.48
2001-02-01,26.64
2001-03-01,24.72
2001-04-01,25.2
2001-05-01,25.57
2001-06-01,24.31
2001-07-01,25.05
2001-08-01,25.17
2001-09-01,25.06
2001-10-01,24.9
2001-11-01,26.0
2001-12-01,25.4
2002-01-01,25.23
2002-02-01,25.76
2002-03-01,26.1
2002-04-01,25.13
2002-05-01,24.85
2002-06-01,22.25
2002-07-01,21.3
2002-08-01,21.47
2002-09-01,19.79
2002-10-01,20.56
2002-11-01,19.99
2002-12-01,19.94
2003-01-01,19.26
2003-02-01,18.67
2003-03-01,18.57
2003-04-01,19.12
2003-05-01,20.06
2003-06-01,20.16
2003-07-01,20.13
2003-08-01,20.47
2003-09-01,20.32
2003-10-01,21.24
2003-11-01,21.49
2003-12-01,21.78
2004-01-01,21.78
2004-02-01,23.02
2004-03-01,22.88
2004-04-01,23.18
2004-05-01,23.05
2004-06-01,23.09
2004-07-01,21.95
2004-08-01,22.34
2004-09-01,21.66
2004-10-01,21.8
2004-11-01,22.34
2004-12-01,23.08
2005-01-01,23.35
2005-02-01,23.32
2005-03-01,23.02
2005-04-01,22.78
2005-05-01,23.31
2005-06-01,22.75
2005-07-01,23.48
2005-08-01,23.07
2005-09-01,23.28
2005-10-01,23.17
2005-11-01,23.38
2005-12-01,23.29
2006-01-01,23.33
2006-02-01,23.53
2006-03-01,23.6
2006-04-01,23.83
2006-05-01,23.88
2006-06-01,24.19
2006-07-01,24.57
2006-08-01,25.52
2006-09-01,25.38
2006-10-01,25.83
2006-11-01,25.61
2006-12-01,26.12
2007-01-01,26.65
2007-02-01,26.24
2007-03-01,26.65
2007-04-01,27.4
2007-05-01,27.77
2007-06-01,27.05
2007-07-01,26.28
2007-08-01,26.9
2007-09-01,27.98
2007-10-01,28.41
2007-11-01,29.19
2007-12-01,28.8
2008-01-01,27.2
2008-02-01,27.13
2008-03-01,27.86
2008-04-01,27.65
2008-05-01,28.49
2008-06-01,26.75
2008-07-01,27.4
2008-08-01,28.14
2008-09-01,27.6
2008-10-01,24.12
2008-11-01,24.07
2008-12-01,23.87
2009-01-01,22.15
2009-02-01,20.36
2009-03-01,21.1
2009-04-01,22.0
2009-05-01,23.12
2009-06-01,22.99
2009-07-01,24.52
2009-08-01,24.82
2009-09-01,25.46
2009-10-01,25.83
2009-11-01,26.78
2009-12-01,26.47
2010-01-01,26.2
2010-02-01,27.03
2010-03-01,27.93
2010-04-01,27.63
2010-05-01,26.35
2010-06-01,25.5
2010-07-01,26.98
2010-08-01,26.48
2010-09-01,27.88
2010-10-01,28.77
2010-11-01,28.32
2010-12-01,29.31
2011-01-01,28.88
2011-02-01,29.72
2011-03-01,29.92
2011-04-01,31.52
2011-05-01,32.31
2011-06-01,31.23
2011-07-01,30.83
2011-08-01,30.89
2011-09-01,29.66
2011-10-01,31.04
2011-11-01,31.9
2011-12-01,32.49
2012-01-01,32.03
2012-02-01,33.23
2012-03-01,34.08
2012-04-01,34.18
2012-05-01,33.78
2012-06-01,34.77
