Date,Close
2026-05-04,77.86
2026-05-05,76.78
2026-05-06,70.63
2026-05-07,72.24
2026-05-08,67.25
2026-05-11,70.74
2026-05-12,71.68
2026-05-13,70.24
2026-05-14,69.63
2026-05-15,79.87
2026-05-18,86.07
2026-05-19,85.32
2026-05-20,81.53
2026-05-21,79.72
2026-05-22,78.43
2026-05-26,74.95
2026-05-27,70.9
2026-05-28,69.74
2026-05-29,70.22
2026-06-01,73.33
2026-06-02,73.43
2026-06-03,73.58
2026-06-04,71.16
2026-06-05,75.2
2026-06-08,76.98
2026-06-09,77.03
2026-06-10,73.95
2026-06-11,69.45
2026-06-12,69.36
2026-06-15,69.38
2026-06-16,67.28
2026-06-17,70.66
2026-06-18,65.39
2026-06-22,70.02
2026-06-23,68.78
2026-06-24,69.06
2026-06-25,67.1
2026-06-26,66.79
2026-06-29,68.14
2026-06-30,71.96
2026-07-01,68.56
2026-07-02,65.4
2026-07-06,65.76
2026-07-07,70.25
2026-07-08,72.41
2026-07-09,68.89
2026-07-10,69.55
2026-07-13,77.77
2026-07-14,75.03
2026-07-15,68.48
2026-07-16,68.16
2026-07-17,70.88
2026-07-20,72.66
2026-07-21,74.67
2026-07-22,76.31
2026-07-23,80.08
2026-07-24,76.82
2026-07-27,77.21
2026-07-28,76.09
2026-07-29,74.18
2026-07-30,77.09
2026-07-31,83.02
2026-08-03,80.48
2026-08-04,77.56
2026-08-05,73.58
2026-08-06,76.12
2026-08-07,72.03
2026-08-10,75.46
2026-08-11,77.915
2026-08-12,72.09
2026-08-13,69.23
2026-08-14,69.58
2026-08-17,75.63
2026-08-18,74.979
2026-08-19,71.26
2026-08-20,73.18
2026-08-21,73.4
2026-08-24,73.98
2026-08-25,71.92
2026-08-26,69.44
2026-08-27,69.438
2026-08-28,70.965
2026-08-31,75.32
2026-09-01,77.88
2026-09-02,79.71
2026-09-03,74.68
2026-09-04,73.1
