date,svr,short_vol,total_vol
2020-01-02,0.4962,17554725,35375474
2020-01-03,0.4672,17405047,37255613
2020-01-06,0.382,13351748,34952833
2020-01-07,0.4435,17144091,38655789
2020-01-08,0.4074,19077635,46822634
2020-01-09,0.4433,21179953,47774766
2020-01-10,0.4933,19262186,39049272
2020-01-13,0.5018,21572235,42992230
2020-01-14,0.5389,24930619,46262222
2020-01-15,0.5037,17365488,34477632
2020-01-16,0.5531,19782175,35764286
2020-01-17,0.5272,17826703,33810958
2020-01-21,0.4821,15955112,33094957
2020-01-22,0.4837,19263792,39825551
2020-01-23,0.4687,13445747,28684385
2020-01-24,0.5117,21169949,41369849
2020-01-27,0.4334,18118010,41806610
2020-01-28,0.5019,19446431,38743306
2020-01-29,0.4766,27083212,56831363
2020-01-30,0.4858,35495304,73058365
2020-01-31,0.4334,27118316,62566774
2020-02-03,0.4955,30887655,62340086
2020-02-04,0.4911,32054206,65266682
2020-02-05,0.4945,26615626,53822710
2020-02-06,0.5294,24502479,46285304
2020-02-07,0.5367,22261374,41475791
2020-02-10,0.4569,22461892,49163043
2020-02-11,0.476,27454493,57680851
2020-02-12,0.3985,18177791,45617379
2020-02-13,0.4408,21224503,48151999
2020-02-14,0.4706,19273300,40958056
2020-02-18,0.4185,19956705,47685421
2020-02-19,0.4686,20304214,43332845
2020-02-20,0.4489,22169635,49391456
2020-02-21,0.4139,21986730,53120539
2020-02-24,0.3117,22451677,72036640
2020-02-25,0.3539,27082140,76531295
2020-02-26,0.373,24210381,64898860
2020-02-27,0.3283,30120465,91734018
2020-02-28,0.3301,32763761,99256081
2020-03-02,0.5019,43488302,86641303
2020-03-03,0.4769,39719585,83281354
2020-03-04,0.4534,27203537,60003055
2020-03-05,0.498,25146492,50490972
2020-03-06,0.4071,26378137,64790407
2020-03-09,0.4271,30405162,71186198
2020-03-10,0.4131,28871130,69885049
2020-03-11,0.451,28170355,62458334
2020-03-12,0.3145,30063307,95584928
2020-03-13,0.3323,28842678,86791086
2020-03-16,0.3019,26914661,89149694
2020-03-17,0.3177,31142405,98024735
2020-03-18,0.3366,31586301,93828010
2020-03-19,0.3684,34327590,93169437
2020-03-20,0.412,36870214,89490914
2020-03-23,0.3537,33514173,94758056
2020-03-24,0.4166,41028588,98483040
2020-03-25,0.5039,47277959,93817535
2020-03-26,0.519,39749321,76593893
2020-03-27,0.5409,36786851,68009252
2020-03-30,0.5061,34676109,68519353
2020-03-31,0.505,40129306,79463606
2020-04-01,0.5552,36096711,65013614
2020-04-02,0.5302,33630481,63428725
2020-04-03,0.5481,34184478,62365572
2020-04-06,0.4546,30864690,67899300
2020-04-07,0.5539,45459329,82065305
2020-04-08,0.5802,34134398,58830952
2020-04-09,0.5559,32731818,58882785
2020-04-13,0.5498,33716967,61324803
2020-04-14,0.569,42410928,74532039
2020-04-15,0.5652,32310502,57162660
2020-04-16,0.5739,40067878,69812447
2020-04-17,0.5401,33953195,62863005
2020-04-20,0.4166,21477565,51556205
2020-04-21,0.4362,31369049,71916261
2020-04-22,0.4286,23753768,55426662
2020-04-23,0.4304,20904959,48571132
2020-04-24,0.4151,22802155,54935887
2020-04-27,0.4363,26128283,59882484
2020-04-28,0.4211,21236288,50425013
2020-04-29,0.4004,25397949,63425220
2020-04-30,0.4144,33183691,80068233
2020-05-01,0.4391,37623157,85687403
2020-05-04,0.4312,22473295,52112573
2020-05-05,0.434,24993692,57586644
2020-05-06,0.452,23639801,52306093
2020-05-07,0.4486,18413560,41045952
2020-05-08,0.4058,18832593,46403975
2020-05-11,0.4318,22292596,51626205
2020-05-12,0.4429,23247737,52494130
2020-05-13,0.4082,27936181,68438793
2020-05-14,0.4561,24807659,54390877
2020-05-15,0.4783,28143486,58844080
2020-05-18,0.4501,23466222,52136260
2020-05-19,0.4988,26625087,53383063
2020-05-20,0.4707,29073219,61770308
2020-05-21,0.5474,34888523,63733162
2020-05-22,0.5591,29903578,53487698
2020-05-26,0.5588,30337145,54285454
2020-05-27,0.4865,30398324,62487336
2020-05-28,0.5129,26578783,51822027
2020-05-29,0.5013,23475132,46826452
2020-06-01,0.4482,17229373,38440017
2020-06-02,0.4735,19308105,40779779
2020-06-03,0.4526,16398732,36229036
2020-06-04,0.5149,19742359,38339191
2020-06-05,0.4797,19624784,40907633
2020-06-08,0.4721,18685150,39576009
2020-06-09,0.5145,27325997,53109856
2020-06-10,0.5304,32575565,61420646
2020-06-11,0.5035,34151362,67821239
2020-06-12,0.5197,30908304,59478771
2020-06-15,0.5151,23464892,45556191
2020-06-16,0.4922,24983260,50761434
2020-06-17,0.5238,22351644,42668857
2020-06-18,0.5128,17042429,33231819
2020-06-19,0.5398,28359142,52532121
2020-06-22,0.4623,20814008,45023583
2020-06-23,0.5465,32936476,60263229
2020-06-24,0.5288,31555441,59670289
2020-06-25,0.4561,19833468,43483994
2020-06-26,0.479,38592219,80560705
2020-06-29,0.5072,32073588,63231531
2020-06-30,0.4711,25457889,54033641
2020-07-01,0.4524,24274343,53653421
2020-07-02,0.4878,24366331,49951592
2020-07-06,0.4681,23931436,51125477
2020-07-07,0.498,26914162,54042374
2020-07-08,0.538,29639288,55087926
2020-07-09,0.5051,26633892,52733896
2020-07-10,0.4698,22695522,48304097
2020-07-13,0.4636,34570270,74562549
2020-07-14,0.4281,26373247,61606969
2020-07-15,0.4667,25125735,53834533
2020-07-16,0.4628,21038413,45460255
2020-07-17,0.4375,16706694,38185658
2020-07-20,0.3997,19417861,48583037
2020-07-21,0.3972,19353684,48727374
2020-07-22,0.388,19899362,51281760
2020-07-23,0.3913,31212135,79769219
2020-07-24,0.3618,23734197,65601597
2020-07-27,0.4082,18134773,44429508
2020-07-28,0.3623,15597642,43056947
2020-07-29,0.3977,13511465,33974781
2020-07-30,0.3951,16268072,41173073
2020-07-31,0.4336,43382331,100049448
2020-08-03,0.4831,47533043,98400396
2020-08-04,0.4669,29227054,62604352
2020-08-05,0.4729,19579901,41399702
2020-08-06,0.4739,33958312,71662780
2020-08-07,0.416,36447085,87621404
2020-08-10,0.3967,27626742,69649584
2020-08-11,0.3602,21806930,60548499
2020-08-12,0.3967,24332728,61341016
2020-08-13,0.4195,26995546,64358378
2020-08-14,0.419,20879566,49832547
2020-08-17,0.384,16934961,44101728
2020-08-18,0.3726,16689251,44790705
2020-08-19,0.3947,21009617,53223725
2020-08-20,0.4095,23688269,57846985
2020-08-21,0.4083,35843870,87795828
2020-08-24,0.4224,35330514,83640109
2020-08-25,0.3797,25661417,67577761
2020-08-26,0.386,31597342,81851661
2020-08-27,0.42,32119746,76471173
2020-08-28,0.4293,23497532,54730315
2020-08-31,0.3849,68835994,178826489
2020-09-01,0.3742,51885284,138642579
2020-09-02,0.3329,60324550,181220575
2020-09-03,0.3054,63674308,208521342
2020-09-04,0.326,85634801,262675363
2020-09-08,0.3654,71047675,194445581
2020-09-09,0.3881,62532844,161134376
2020-09-10,0.3918,69188820,176578618
2020-09-11,0.4012,66164475,164925510
2020-09-14,0.4064,64882067,159639036
2020-09-15,0.4052,76654232,189167414
2020-09-16,0.4019,62469308,155431266
2020-09-17,0.4194,72430324,172689187
2020-09-18,0.4045,74986703,185399265
2020-09-21,0.3979,80214573,201611869
2020-09-22,0.4082,73074382,179008331
2020-09-23,0.4188,65968325,157527419
2020-09-24,0.4135,73709918,178263758
2020-09-25,0.4216,61676167,146291711
2020-09-28,0.3965,49936674,125934941
2020-09-29,0.3931,44151304,112329962
2020-09-30,0.3951,49498457,125283701
2020-10-01,0.4981,53834278,108083648
2020-10-02,0.5096,65021138,127594488
2020-10-05,0.3749,36437686,97199842
2020-10-06,0.4695,65672244,139878293
2020-10-07,0.3853,36714861,95294669
2020-10-08,0.3954,32804154,82973392
2020-10-09,0.3713,29088900,78339912
2020-10-12,0.3776,66030242,174890154
2020-10-13,0.4071,75861599,186365339
2020-10-14,0.4067,52224564,128415822
2020-10-15,0.414,39138888,94527203
2020-10-16,0.3884,35407130,91172405
2020-10-19,0.3892,39129650,100534785
2020-10-20,0.4084,42880881,105008797
2020-10-21,0.3968,32129335,80964811
2020-10-22,0.4063,36469250,89760771
2020-10-23,0.4135,30670732,74169662
2020-10-26,0.3922,37053928,94485439
2020-10-27,0.3984,32228098,80885855
2020-10-28,0.3716,42061422,113179506
2020-10-29,0.4068,39766417,97751349
2020-10-30,0.4332,62571995,144446356
2020-11-02,0.4163,42303305,101629301
2020-11-03,0.4068,35962878,88398523
2020-11-04,0.3473,36548277,105227536
2020-11-05,0.4138,39879116,96381274
2020-11-06,0.3773,30974712,82099028
2020-11-09,0.3832,38006525,99180877
2020-11-10,0.4118,44997109,109264194
2020-11-11,0.3755,33509303,89246632
2020-11-12,0.5636,43196898,76641056
2020-11-13,0.5294,31660225,59808587
2020-11-16,0.3844,24189532,62928252
2020-11-17,0.5205,43023486,82653543
2020-11-18,0.5239,47979979,91576116
2020-11-19,0.5299,45329971,85548710
2020-11-20,0.5482,35156495,64136406
2020-11-23,0.3996,41969557,105027623
2020-11-24,0.402,41175295,102423768
2020-11-25,0.4388,32678933,74475883
2020-11-27,0.4456,22736644,51029371
2020-11-30,0.4208,47510295,112911442
2020-12-01,0.4085,40856720,100023495
2020-12-02,0.4392,36480059,83053043
2020-12-03,0.4271,29868198,69939429
2020-12-04,0.4303,26838735,62376493
2020-12-07,0.4395,35581179,80965329
2020-12-08,0.4533,35521509,78354491
2020-12-09,0.4914,51832443,105471086
2020-12-10,0.4563,40826501,89471083
2020-12-11,0.4833,39288019,81287431
2020-12-14,0.4335,34109098,78686731
2020-12-15,0.4882,54258745,111150837
2020-12-16,0.49,42773909,87300649
2020-12-17,0.4822,42318622,87761537
2020-12-18,0.5512,61034039,110722883
2020-12-21,0.5061,50908988,100582674
2020-12-22,0.5382,72687999,135060440
2020-12-23,0.5416,40259768,74331801
2020-12-24,0.5236,27738393,52979258
2020-12-28,0.3932,40427663,102809931
2020-12-29,0.4006,37680620,94071925
2020-12-30,0.4384,37952051,86574330
2020-12-31,0.4383,39329643,89737121
2021-01-04,0.516,58290901,112976860
2021-01-05,0.5303,40856337,77043343
2021-01-06,0.5326,64422736,120956377
2021-01-07,0.5327,51260028,96219879
2021-01-08,0.5478,56577233,103274976
2021-01-11,0.5165,49897867,96605136
2021-01-12,0.5286,49450060,93553508
2021-01-13,0.5132,38191230,74413171
2021-01-14,0.5154,40889773,79343311
2021-01-15,0.4846,40921216,84450587
2021-01-19,0.3613,28220416,78108939
2021-01-20,0.3774,32454593,86003826
2021-01-21,0.4021,36484934,90744497
2021-01-22,0.3874,34426474,88873322
2021-01-25,0.3918,48265529,123199894
2021-01-26,0.3931,33651380,85609519
2021-01-27,0.3029,30652649,101200886
2021-01-28,0.3677,36111326,98214409
2021-01-29,0.3644,43780978,120145361
2021-02-01,0.3885,30438257,78349045
2021-02-02,0.3344,20458919,61183078
2021-02-03,0.3332,21632382,64925551
2021-02-04,0.3282,19237806,58621470
2021-02-05,0.3524,19022914,53973699
2021-02-08,0.3483,18783260,53927588
2021-02-09,0.2971,19370412,65198712
2021-02-10,0.4702,29117165,61920333
2021-02-11,0.4763,23586916,49521796
2021-02-12,0.528,24776957,46926565
2021-02-16,0.3918,22587961,57651978
2021-02-17,0.3586,25571395,71318489
2021-02-18,0.467,29610131,63404430
2021-02-19,0.4794,30497495,63614566
2021-02-22,0.3663,28889226,78861631
2021-02-23,0.3618,42388687,117168535
2021-02-24,0.381,30729876,80659071
2021-02-25,0.4179,40998614,98110045
2021-02-26,0.408,37397839,91665934
2021-03-01,0.4016,29958546,74597505
2021-03-02,0.3953,25497938,64502126
2021-03-03,0.4209,29798035,70798090
2021-03-04,0.4036,48862136,121080611
2021-03-05,0.4482,54815668,122297270
2021-03-08,0.375,38510700,102704803
2021-03-09,0.4371,43775009,100144911
2021-03-10,0.462,40911325,88547911
2021-03-11,0.4193,32283278,76987687
2021-03-12,0.4628,30422277,65731104
2021-03-15,0.4006,26826983,66959486
2021-03-16,0.3936,35468517,90115080
2021-03-17,0.4294,35352897,82336095
2021-03-18,0.4519,36342810,80422578
2021-03-19,0.4289,40728664,94958386
2021-03-22,0.4164,34364194,82517564
2021-03-23,0.4201,33776837,80395524
2021-03-24,0.4206,29769596,70776875
2021-03-25,0.4463,35233312,78943455
2021-03-26,0.4286,29452240,68715903
2021-03-29,0.3872,23620873,61007015
2021-03-30,0.4125,28899481,70050901
2021-03-31,0.4022,31817212,79105103
2021-04-01,0.3625,25171719,69434508
2021-04-05,0.384,33984769,88493031
2021-04-06,0.4036,27730723,68703274
2021-04-07,0.4255,32004830,75224221
2021-04-08,0.4487,32959931,73448429
2021-04-09,0.4496,33958387,75528331
2021-04-12,0.3958,30254786,76448916
2021-04-13,0.4109,35993242,87604205
2021-04-14,0.4155,33402521,80382209
2021-04-15,0.4329,31338522,72399298
2021-04-16,0.4321,28032376,64881485
2021-04-19,0.3932,29389744,74746472
2021-04-20,0.4079,32982077,80860726
2021-04-21,0.431,26415251,61294679
2021-04-22,0.4226,31465864,74452677
2021-04-23,0.3982,24410620,61301166
2021-04-26,0.4082,23690575,58042323
2021-04-27,0.4245,25398096,59829374
2021-04-28,0.426,34252384,80401761
2021-04-29,0.4088,53119508,129924378
2021-04-30,0.3781,34582583,91458647
2021-05-03,0.4466,28363022,63505036
2021-05-04,0.408,37872225,92832824
2021-05-05,0.4101,26740096,65197142
2021-05-06,0.4337,27899004,64325964
2021-05-07,0.4813,26222209,54484099
2021-05-10,0.4341,29878426,68824045
2021-05-11,0.3095,31343090,101270479
2021-05-12,0.4174,34704728,83136641
2021-05-13,0.389,33270014,85524446
2021-05-14,0.4706,30055944,63863888
2021-05-17,0.4311,25610649,59402977
2021-05-18,0.395,22893786,57964665
2021-05-19,0.4119,29429720,71447612
2021-05-20,0.4333,27376924,63184560
2021-05-21,0.4429,28963050,65401240
2021-05-24,0.3699,22036637,59579350
2021-05-25,0.5154,37017606,71819767
2021-05-26,0.3937,19687987,50008709
2021-05-27,0.4171,22904436,54920096
2021-05-28,0.3802,20797764,54697350
2021-06-01,0.4119,23142446,56186591
2021-06-02,0.4223,22738606,53840135
2021-06-03,0.4052,28429754,70159502
2021-06-04,0.4812,30200035,62760463
2021-06-07,0.4791,30105775,62842016
2021-06-08,0.4745,30708803,64723769
2021-06-09,0.5031,24457540,48609904
2021-06-10,0.4288,24871966,58006364
2021-06-11,0.4129,18942899,45882229
2021-06-14,0.439,24954091,56843392
